time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1760974487.3084166,10954883,2804450048,2804.450048,211,198,154,2,20251021_003557
1760974487.3184006,10954922,2804460032,2804.460032,216,197,155,2,20251021_003557
1760974487.3283846,10954961,2804470016,2804.470016,221,197,154,2,20251021_003557
1760974487.338369,10955000,2804480000,2804.48,227,197,152,2,20251021_003557
1760974487.348353,10955039,2804489984,2804.489984,231,197,149,2,20251021_003557
1760974487.3583367,10955078,2804499968,2804.499968,237,197,146,2,20251021_003557
1760974487.3683207,10955117,2804509952,2804.509952,242,198,142,2,20251021_003557
1760974487.3783047,10955156,2804519936,2804.519936,247,198,140,2,20251021_003557
1760974487.3882887,10955195,2804529920,2804.52992,252,198,140,2,20251021_003557
1760974487.3982728,10955234,2804539904,2804.539904,2,198,145,2,20251021_003557
1760974487.4082563,10955273,2804549888,2804.549888,7,198,147,2,20251021_003557
1760974487.4182403,10955312,2804559872,2804.559872,119,197,151,2,20251021_003557
1760974487.4282246,10955351,2804569856,2804.569856,124,198,153,2,20251021_003557
1760974487.4382086,10955390,2804579840,2804.57984,130,197,154,2,20251021_003557
1760974487.448449,10955430,2804590080,2804.59008,135,197,154,2,20251021_003557
1760974487.458433,10955469,2804600064,2804.600064,140,197,155,2,20251021_003557
1760974487.4684167,10955508,2804610048,2804.610048,145,197,155,2,20251021_003557
1760974487.4784007,10955547,2804620032,2804.620032,150,198,152,2,20251021_003557
1760974487.4883847,10955586,2804630016,2804.630016,155,198,146,2,20251021_003557
1760974487.4983687,10955625,2804640000,2804.64,160,198,136,2,20251021_003557
1760974487.5083525,10955664,2804649984,2804.649984,165,197,127,2,20251021_003557
1760974487.5183363,10955703,2804659968,2804.659968,170,197,122,2,20251021_003557
1760974487.5283206,10955742,2804669952,2804.669952,175,197,118,2,20251021_003557
1760974487.5383046,10955781,2804679936,2804.679936,180,197,114,2,20251021_003557
1760974487.5482886,10955820,2804689920,2804.68992,186,197,112,2,20251021_003557
1760974487.5582726,10955859,2804699904,2804.699904,191,198,111,2,20251021_003557
1760974487.5682566,10955898,2804709888,2804.709888,196,198,111,2,20251021_003557
1760974487.5782406,10955937,2804719872,2804.719872,201,198,111,2,20251021_003557
1760974487.5884807,10955977,2804730112,2804.730112,206,198,113,2,20251021_003557
1760974487.5984647,10956016,2804740096,2804.740096,211,198,120,2,20251021_003557
1760974487.6084487,10956055,2804750080,2804.75008,216,198,127,2,20251021_003557
1760974487.6184323,10956094,2804760064,2804.760064,221,198,139,2,20251021_003557
1760974487.6284163,10956133,2804770048,2804.770048,226,198,146,2,20251021_003557
1760974487.6384006,10956172,2804780032,2804.780032,231,197,148,2,20251021_003557
1760974487.6483846,10956211,2804790016,2804.790016,237,197,147,2,20251021_003557
1760974487.6583686,10956250,2804800000,2804.8,242,197,148,2,20251021_003557
1760974487.6683526,10956289,2804809984,2804.809984,247,197,144,2,20251021_003557
1760974487.6783366,10956328,2804819968,2804.819968,252,197,137,2,20251021_003557
