t,As,Ws,A,W,V,T
0.1,0.0148,0.067,0.147,0.65,4.7,21.6
0.2,0.0239,0.109,0.09,0.4,4.824,21.6
0.3,0.0279,0.128,0.039,0.2,4.952,21.6
0.5,0.0582,0.261,0.135,0.6,4.632,21.8
0.6,0.0705,0.322,0.123,0.6,4.822,21.8
0.7,0.0752,0.346,0.048,0.25,4.876,21.8
0.8,0.0944,0.431,0.189,0.85,4.892,21.8
0.9,0.1085,0.498,0.141,0.65,4.814,21.8
1.0,0.1172,0.54,0.087,0.4,4.82,21.8
1.1,0.1212,0.558,0.039,0.2,5.034,21.8
1.2,0.1378,0.631,0.165,0.7,4.774,21.8
1.3,0.1523,0.698,0.144,0.65,4.938,21.8
1.4,0.1627,0.746,0.105,0.5,4.986,21.8
1.5,0.1664,0.765,0.036,0.2,5.114,21.8
1.6,0.1841,0.844,0.177,0.8,4.982,21.8
1.7,0.2,0.916,0.159,0.7,4.932,21.8
1.8,0.2079,0.953,0.078,0.35,4.956,21.8
1.9,0.2112,0.971,0.033,0.2,5.048,21.8
2.0,0.2271,1.044,0.159,0.7,5.032,21.8
2.1,0.2423,1.111,0.15,0.65,4.968,21.8
2.3,0.2578,1.189,0.054,0.3,5.024,21.8
2.4,0.2752,1.262,0.171,0.7,4.942,21.8
2.5,0.2897,1.329,0.144,0.65,4.92,21.8
2.6,0.2994,1.378,0.096,0.5,4.868,21.8
2.7,0.3027,1.39,0.033,0.1,4.982,21.8
2.8,0.3186,1.463,0.159,0.7,4.634,21.8
2.9,0.3341,1.535,0.153,0.7,4.566,21.8
3.0,0.3446,1.584,0.105,0.5,4.766,21.8
3.1,0.3493,1.608,0.048,0.25,4.856,21.8
3.2,0.3678,1.687,0.183,0.8,4.83,21.8
3.3,0.3826,1.754,0.147,0.65,4.79,21.8
3.4,0.3913,1.796,0.087,0.4,4.812,21.8
3.5,0.3945,1.808,0.033,0.1,5.03,21.8
3.6,0.4115,1.887,0.168,0.8,4.87,21.8
3.7,0.4253,1.948,0.135,0.6,4.964,21.8
3.8,0.4361,2.003,0.108,0.55,4.99,21.8
4.0,0.4589,2.106,0.042,0.2,5.05,21.8
4.1,0.4744,2.178,0.153,0.7,5.14,21.8
4.2,0.4831,2.221,0.087,0.4,4.912,21.8
4.3,0.4875,2.239,0.042,0.2,5.1,21.8
4.4,0.5045,2.318,0.168,0.8,4.98,21.8
4.5,0.5196,2.391,0.15,0.7,5.018,21.8
4.6,0.5305,2.439,0.108,0.5,5.036,21.8
4.7,0.5337,2.458,0.033,0.2,5.104,21.8
4.8,0.5518,2.536,0.18,0.8,4.832,21.8
4.9,0.5666,2.603,0.147,0.65,4.834,21.8
5.0,0.575,2.646,0.081,0.4,4.788,21.8
5.1,0.5793,2.664,0.042,0.2,5.034,21.8
5.2,0.5956,2.737,0.162,0.7,4.516,21.8
5.3,0.6093,2.797,0.135,0.6,4.664,21.8
5.4,0.6205,2.846,0.111,0.5,4.846,21.8
5.5,0.6241,2.864,0.036,0.2,5.048,21.8
5.6,0.6422,2.943,0.18,0.8,4.864,21.8
5.8,0.6657,3.058,0.144,0.65,4.738,21.8
6.0,0.67,3.076,0.042,0.2,5.058,21.8
6.1,0.6856,3.149,0.153,0.7,4.878,21.8
6.2,0.7008,3.222,0.15,0.7,4.872,21.8
6.3,0.7113,3.271,0.105,0.5,5.03,21.8
6.4,0.7156,3.289,0.042,0.2,5.052,21.8
6.5,0.7348,3.374,0.189,0.85,4.902,21.8
6.6,0.7489,3.44,0.141,0.65,4.854,21.8
6.7,0.7572,3.483,0.081,0.4,5.064,21.8
6.8,0.7612,3.501,0.039,0.2,5.086,21.8
6.9,0.7785,3.58,0.171,0.8,5.034,21.8
7.0,0.7926,3.647,0.141,0.65,4.976,22.0
7.1,0.8027,3.695,0.099,0.5,4.92,22.0
7.2,0.8067,3.713,0.039,0.2,5.042,21.8
7.3,0.8259,3.798,0.189,0.85,4.568,21.8
7.4,0.8403,3.865,0.144,0.65,4.768,21.8
7.5,0.8479,3.902,0.075,0.35,4.898,21.8
7.7,0.8693,3.999,0.162,0.8,4.58,21.8
7.8,0.8834,4.065,0.141,0.65,4.572,21.8
7.9,0.8931,4.108,0.096,0.4,4.784,21.8
8.0,0.8971,4.126,0.039,0.2,4.964,21.8
8.1,0.9174,4.223,0.201,0.95,4.488,21.8
8.2,0.9311,4.29,0.135,0.65,4.92,22.0
8.3,0.9387,4.326,0.075,0.35,4.946,21.8
8.4,0.9445,4.351,0.057,0.25,5.1,22.0
8.5,0.9615,4.435,0.168,0.85,4.77,22.0
8.6,0.9748,4.502,0.132,0.65,4.888,22.0
8.7,0.9857,4.551,0.108,0.5,5.028,21.8
8.8,0.9915,4.575,0.057,0.25,5.046,21.8
8.9,1.0103,4.666,0.186,0.9,4.768,22.0
9.0,1.0233,4.727,0.129,0.6,4.804,22.0
9.1,1.0312,4.769,0.078,0.4,5.076,21.8
9.2,1.0377,4.793,0.063,0.25,5.1,22.0
9.3,1.0547,4.872,0.168,0.8,4.944,22.0
9.5,1.0768,4.975,0.078,0.35,5.018,22.0
9.6,1.0833,5.0,0.063,0.25,5.112,22.0
9.7,1.1014,5.084,0.18,0.85,4.694,21.8
9.8,1.1147,5.145,0.132,0.6,4.782,22.0
9.9,1.1209,5.175,0.06,0.3,4.806,21.8
10.0,1.1277,5.206,0.069,0.3,5.104,22.0
10.1,1.1447,5.285,0.168,0.8,4.552,22.0
10.2,1.1603,5.357,0.153,0.7,4.58,22.0
10.3,1.1693,5.4,0.09,0.4,4.95,22.0
10.4,1.1751,5.424,0.057,0.25,5.06,21.8
10.5,1.1935,5.509,0.183,0.85,4.5,22.0
10.6,1.2069,5.57,0.132,0.6,4.746,21.8
10.7,1.2131,5.6,0.06,0.3,4.934,21.8
10.8,1.2206,5.63,0.075,0.3,5.096,22.0
10.9,1.2384,5.715,0.177,0.85,4.744,22.0
11.0,1.2524,5.782,0.141,0.65,4.842,22.0
11.1,1.2608,5.824,0.081,0.4,5.088,22.0
11.3,1.2864,5.934,0.171,0.8,5.016,22.0
11.4,1.2987,5.994,0.123,0.6,4.97,22.0
11.5,1.3038,6.019,0.051,0.25,5.104,22.0
11.6,1.315,6.061,0.111,0.4,5.1,22.0
11.7,1.3309,6.134,0.159,0.7,4.898,22.0
11.8,1.3435,6.194,0.126,0.6,4.866,22.0
11.9,1.3507,6.231,0.072,0.35,4.902,21.8
12.0,1.363,6.273,0.123,0.4,5.11,22.0
12.1,1.3789,6.346,0.159,0.7,4.672,22.0
12.2,1.3898,6.401,0.108,0.55,4.834,22.0
12.3,1.3934,6.419,0.036,0.2,4.754,22.0
12.4,1.4086,6.485,0.15,0.65,4.908,21.8
12.5,1.4227,6.552,0.141,0.65,4.832,22.0
12.6,1.4346,6.607,0.117,0.55,4.736,22.0
12.7,1.4396,6.631,0.051,0.25,4.898,22.0
12.8,1.4545,6.698,0.147,0.65,5.008,22.0
13.0,1.4819,6.831,0.165,0.8,4.732,22.0
13.1,1.4848,6.843,0.03,0.1,4.97,22.0
13.2,1.4985,6.904,0.135,0.6,4.976,22.0
13.3,1.5159,6.983,0.171,0.8,5.018,22.0
13.4,1.5282,7.043,0.123,0.6,5.0,22.0
13.5,1.534,7.074,0.057,0.3,5.066,22.0
13.6,1.5477,7.128,0.135,0.55,5.084,22.0
13.7,1.5654,7.207,0.177,0.8,4.922,22.0
13.8,1.5759,7.256,0.105,0.5,4.982,22.0
13.9,1.5799,7.274,0.039,0.2,5.088,22.0
14.0,1.5958,7.34,0.159,0.65,5.036,22.0
14.1,1.6113,7.407,0.153,0.65,4.966,22.0
14.2,1.6243,7.468,0.129,0.6,4.912,22.0
14.3,1.6294,7.492,0.051,0.25,4.872,22.0
14.4,1.6445,7.553,0.15,0.6,4.968,22.0
14.5,1.6604,7.626,0.159,0.7,4.718,22.0
