time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1763661115.687713,9186820,2351825920,2351.82592,65,84,178,2,20251120_185307
1763661115.6974409,9186858,2351835648,2351.835648,68,84,176,2,20251120_185307
1763661115.7074249,9186897,2351845632,2351.845632,72,84,176,2,20251120_185307
1763661115.717409,9186936,2351855616,2351.855616,75,84,176,2,20251120_185307
1763661115.7276487,9186976,2351865856,2351.865856,78,84,176,2,20251120_185307
1763661115.7376328,9187015,2351875840,2351.87584,81,84,176,2,20251120_185307
1763661115.7476168,9187054,2351885824,2351.885824,84,83,176,2,20251120_185307
1763661115.7576008,9187093,2351895808,2351.895808,87,82,176,2,20251120_185307
1763661115.7675848,9187132,2351905792,2351.905792,90,80,176,2,20251120_185307
1763661115.7775688,9187171,2351915776,2351.915776,94,81,176,2,20251120_185307
1763661115.7875528,9187210,2351925760,2351.92576,97,83,176,2,20251120_185307
1763661115.7975368,9187249,2351935744,2351.935744,100,83,177,2,20251120_185307
1763661115.8075209,9187288,2351945728,2351.945728,103,82,176,2,20251120_185307
1763661115.817505,9187327,2351955712,2351.955712,106,80,175,2,20251120_185307
1763661115.827489,9187366,2351965696,2351.965696,110,79,171,2,20251120_185307
1763661115.837473,9187405,2351975680,2351.97568,113,79,168,2,20251120_185307
1763661115.8474567,9187444,2351985664,2351.985664,116,81,163,2,20251120_185307
1763661115.8574407,9187483,2351995648,2351.995648,119,81,160,2,20251120_185307
1763661115.8676808,9187523,2352005888,2352.005888,122,81,158,2,20251120_185307
1763661115.8776648,9187562,2352015872,2352.015872,126,82,158,2,20251120_185307
1763661115.8876488,9187601,2352025856,2352.025856,129,82,157,2,20251120_185307
1763661115.8976328,9187640,2352035840,2352.03584,132,82,158,2,20251120_185307
1763661115.9076169,9187679,2352045824,2352.045824,135,83,159,2,20251120_185307
1763661115.9176009,9187718,2352055808,2352.055808,138,83,161,2,20251120_185307
1763661115.927585,9187757,2352065792,2352.065792,142,83,164,2,20251120_185307
1763661115.937569,9187796,2352075776,2352.075776,145,83,165,2,20251120_185307
1763661115.947553,9187835,2352085760,2352.08576,148,84,171,2,20251120_185307
1763661115.9575367,9187874,2352095744,2352.095744,151,84,173,2,20251120_185307
1763661115.9675207,9187913,2352105728,2352.105728,154,84,174,2,20251120_185307
1763661115.9775047,9187952,2352115712,2352.115712,157,84,175,2,20251120_185307
1763661115.9874887,9187991,2352125696,2352.125696,161,83,175,2,20251120_185307
1763661115.9974728,9188030,2352135680,2352.13568,164,83,175,2,20251120_185307
1763661116.0077128,9188070,2352145920,2352.14592,170,83,175,2,20251120_185307
1763661116.0176969,9188109,2352155904,2352.155904,173,83,175,2,20251120_185307
1763661116.0276809,9188148,2352165888,2352.165888,177,83,175,2,20251120_185307
1763661116.037665,9188187,2352175872,2352.175872,180,82,173,2,20251120_185307
1763661116.047649,9188226,2352185856,2352.185856,183,82,175,2,20251120_185307
1763661116.0576327,9188265,2352195840,2352.19584,186,81,175,2,20251120_185307
1763661116.0676167,9188304,2352205824,2352.205824,189,80,175,2,20251120_185307
1763661116.0776007,9188343,2352215808,2352.215808,193,80,175,2,20251120_185307
1763661116.0875847,9188382,2352225792,2352.225792,196,83,175,2,20251120_185307
1763661116.0975688,9188421,2352235776,2352.235776,199,83,176,2,20251120_185307
1763661116.1075528,9188460,2352245760,2352.24576,202,83,175,2,20251120_185307
1763661116.1175368,9188499,2352255744,2352.255744,205,82,175,2,20251120_185307
1763661116.1275208,9188538,2352265728,2352.265728,209,80,175,2,20251120_185307
1763661116.1375048,9188577,2352275712,2352.275712,212,79,176,2,20251120_185307
1763661116.1474888,9188616,2352285696,2352.285696,215,80,175,2,20251120_185307
1763661116.157729,9188656,2352295936,2352.295936,218,83,175,2,20251120_185307
1763661116.1677127,9188695,2352305920,2352.30592,221,85,175,2,20251120_185307
1763661116.1776967,9188734,2352315904,2352.315904,224,84,175,2,20251120_185307
1763661116.1876807,9188773,2352325888,2352.325888,228,78,177,2,20251120_185307
1763661116.1976647,9188812,2352335872,2352.335872,231,69,175,2,20251120_185307
1763661116.2076488,9188851,2352345856,2352.345856,234,71,175,2,20251120_185307
1763661116.2176328,9188890,2352355840,2352.35584,237,81,175,2,20251120_185307
1763661116.2276168,9188929,2352365824,2352.365824,240,87,178,2,20251120_185307
1763661116.2376008,9188968,2352375808,2352.375808,244,89,175,2,20251120_185307
1763661116.2475848,9189007,2352385792,2352.385792,247,86,175,2,20251120_185307
1763661116.2575688,9189046,2352395776,2352.395776,250,81,175,2,20251120_185307
1763661116.2675529,9189085,2352405760,2352.40576,253,76,175,2,20251120_185307
1763661116.2775369,9189124,2352415744,2352.415744,1,74,176,2,20251120_185307
1763661116.287521,9189163,2352425728,2352.425728,5,75,175,2,20251120_185307
1763661116.2977607,9189203,2352435968,2352.435968,8,76,175,2,20251120_185307
1763661116.3077447,9189242,2352445952,2352.445952,11,79,173,2,20251120_185307
1763661116.3177288,9189281,2352455936,2352.455936,14,80,175,2,20251120_185307
1763661116.3277128,9189320,2352465920,2352.46592,17,81,175,2,20251120_185307
1763661116.3376968,9189359,2352475904,2352.475904,20,81,175,2,20251120_185307
1763661116.3476808,9189398,2352485888,2352.485888,24,82,175,2,20251120_185307
1763661116.3576648,9189437,2352495872,2352.495872,27,81,175,2,20251120_185307
1763661116.3676488,9189476,2352505856,2352.505856,30,80,175,2,20251120_185307
1763661116.3776329,9189515,2352515840,2352.51584,33,78,175,2,20251120_185307
1763661116.3876169,9189554,2352525824,2352.525824,36,75,175,2,20251120_185307
1763661116.397601,9189593,2352535808,2352.535808,40,75,176,2,20251120_185307
1763661116.407585,9189632,2352545792,2352.545792,43,75,176,2,20251120_185307
1763661116.4175687,9189671,2352555776,2352.555776,46,77,175,2,20251120_185307
1763661116.4275527,9189710,2352565760,2352.56576,49,82,175,2,20251120_185307
1763661116.4377928,9189750,2352576000,2352.576,52,87,176,2,20251120_185307
1763661116.4477768,9189789,2352585984,2352.585984,56,88,175,2,20251120_185307
1763661116.4577608,9189828,2352595968,2352.595968,59,84,175,2,20251120_185307
1763661116.4677448,9189867,2352605952,2352.605952,62,75,175,2,20251120_185307
1763661116.4777288,9189906,2352615936,2352.615936,65,68,175,2,20251120_185307
1763661116.4877129,9189945,2352625920,2352.62592,68,73,173,2,20251120_185307
1763661116.4976969,9189984,2352635904,2352.635904,71,81,176,2,20251120_185307
1763661116.507681,9190023,2352645888,2352.645888,75,84,175,2,20251120_185307
1763661116.517665,9190062,2352655872,2352.655872,78,83,176,2,20251120_185307
1763661116.5276487,9190101,2352665856,2352.665856,81,81,176,2,20251120_185307
1763661116.5376327,9190140,2352675840,2352.67584,84,78,175,2,20251120_185307
1763661116.5476167,9190179,2352685824,2352.685824,87,79,176,2,20251120_185307
1763661116.5576007,9190218,2352695808,2352.695808,91,81,175,2,20251120_185307
1763661116.5675848,9190257,2352705792,2352.705792,94,80,175,2,20251120_185307
1763661116.5778248,9190297,2352716032,2352.716032,97,80,175,2,20251120_185307
1763661116.5878088,9190336,2352726016,2352.726016,100,81,175,2,20251120_185307
1763661116.5977929,9190375,2352736000,2352.736,103,80,173,2,20251120_185307
1763661116.6077769,9190414,2352745984,2352.745984,106,77,176,2,20251120_185307
1763661116.617761,9190453,2352755968,2352.755968,110,77,176,2,20251120_185307
1763661116.627745,9190492,2352765952,2352.765952,113,78,176,2,20251120_185307
1763661116.6377287,9190531,2352775936,2352.775936,116,78,175,2,20251120_185307
1763661116.6477127,9190570,2352785920,2352.78592,119,78,176,2,20251120_185307
1763661116.6576967,9190609,2352795904,2352.795904,122,79,175,2,20251120_185307
1763661116.6676807,9190648,2352805888,2352.805888,126,80,175,2,20251120_185307
1763661116.6776648,9190687,2352815872,2352.815872,129,79,173,2,20251120_185307
1763661116.6876488,9190726,2352825856,2352.825856,132,80,176,2,20251120_185307
1763661116.6976328,9190765,2352835840,2352.83584,135,80,175,2,20251120_185307
1763661116.7076168,9190804,2352845824,2352.845824,138,80,176,2,20251120_185307
1763661116.717857,9190844,2352856064,2352.856064,142,80,175,2,20251120_185307
1763661116.727841,9190883,2352866048,2352.866048,145,80,176,2,20251120_185307
1763661116.737825,9190922,2352876032,2352.876032,148,80,175,2,20251120_185307
1763661116.7478087,9190961,2352886016,2352.886016,151,80,176,2,20251120_185307
1763661116.7577927,9191000,2352896000,2352.896,154,79,174,2,20251120_185307
1763661116.7677767,9191039,2352905984,2352.905984,157,79,174,2,20251120_185307
1763661116.7777607,9191078,2352915968,2352.915968,161,79,176,2,20251120_185307
1763661116.7877448,9191117,2352925952,2352.925952,164,79,176,2,20251120_185307
1763661116.7977288,9191156,2352935936,2352.935936,167,78,176,2,20251120_185307
