time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1764780144.176279,13466298,3447372288,3447.372288,200,32,182,4,20251203_174335
1764780144.186007,13466336,3447382016,3447.382016,204,31,182,4,20251203_174335
1764780144.195991,13466375,3447392000,3447.392,207,32,181,4,20251203_174335
1764780144.205975,13466414,3447401984,3447.401984,211,32,181,4,20251203_174335
1764780144.215959,13466453,3447411968,3447.411968,214,32,181,4,20251203_174335
1764780144.225943,13466492,3447421952,3447.421952,218,32,182,4,20251203_174335
1764780144.2361832,13466532,3447432192,3447.432192,221,32,181,4,20251203_174335
1764780144.2461672,13466571,3447442176,3447.442176,224,31,180,4,20251203_174335
1764780144.256151,13466610,3447452160,3447.45216,228,31,181,4,20251203_174335
1764780144.266135,13466649,3447462144,3447.462144,231,31,182,4,20251203_174335
1764780144.276119,13466688,3447472128,3447.472128,235,31,181,4,20251203_174335
1764780144.286103,13466727,3447482112,3447.482112,238,31,182,4,20251203_174335
1764780144.296087,13466766,3447492096,3447.492096,241,31,182,4,20251203_174335
1764780144.306071,13466805,3447502080,3447.50208,245,31,182,4,20251203_174335
1764780144.316055,13466844,3447512064,3447.512064,248,32,182,4,20251203_174335
1764780144.326039,13466883,3447522048,3447.522048,252,33,182,4,20251203_174335
1764780144.336023,13466922,3447532032,3447.532032,0,33,182,4,20251203_174335
1764780144.346007,13466961,3447542016,3447.542016,4,33,180,4,20251203_174335
1764780144.3559911,13467000,3447552000,3447.552,7,34,182,4,20251203_174335
1764780144.3659751,13467039,3447561984,3447.561984,11,34,182,4,20251203_174335
1764780144.376215,13467079,3447572224,3447.572224,14,34,180,4,20251203_174335
1764780144.386199,13467118,3447582208,3447.582208,18,34,181,4,20251203_174335
1764780144.396183,13467157,3447592192,3447.592192,21,35,182,4,20251203_174335
1764780144.406167,13467196,3447602176,3447.602176,24,34,181,4,20251203_174335
1764780144.416151,13467235,3447612160,3447.61216,28,35,182,4,20251203_174335
1764780144.426135,13467274,3447622144,3447.622144,31,34,182,4,20251203_174335
1764780144.436119,13467313,3447632128,3447.632128,35,34,181,4,20251203_174335
1764780144.446103,13467352,3447642112,3447.642112,38,34,181,4,20251203_174335
1764780144.456087,13467391,3447652096,3447.652096,42,34,181,4,20251203_174335
1764780144.4660711,13467430,3447662080,3447.66208,45,33,182,4,20251203_174335
1764780144.4760551,13467469,3447672064,3447.672064,48,33,181,4,20251203_174335
1764780144.4860392,13467508,3447682048,3447.682048,52,32,182,4,20251203_174335
1764780144.4960232,13467547,3447692032,3447.692032,55,31,182,4,20251203_174335
1764780144.5060072,13467586,3447702016,3447.702016,59,31,182,4,20251203_174335
1764780144.515991,13467625,3447712000,3447.712,62,31,181,4,20251203_174335
1764780144.526231,13467665,3447722240,3447.72224,66,31,183,4,20251203_174335
1764780144.536215,13467704,3447732224,3447.732224,69,31,182,4,20251203_174335
1764780144.546199,13467743,3447742208,3447.742208,73,31,181,4,20251203_174335
1764780144.556183,13467782,3447752192,3447.752192,76,32,182,4,20251203_174335
1764780144.566167,13467821,3447762176,3447.762176,79,33,181,4,20251203_174335
1764780144.5761511,13467860,3447772160,3447.77216,83,36,182,4,20251203_174335
1764780144.5861351,13467899,3447782144,3447.782144,86,36,180,4,20251203_174335
1764780144.5961192,13467938,3447792128,3447.792128,90,36,181,4,20251203_174335
1764780144.6061032,13467977,3447802112,3447.802112,93,37,181,4,20251203_174335
1764780144.6160872,13468016,3447812096,3447.812096,97,37,182,4,20251203_174335
1764780144.626071,13468055,3447822080,3447.82208,100,37,182,4,20251203_174335
1764780144.636055,13468094,3447832064,3447.832064,104,38,182,4,20251203_174335
1764780144.646039,13468133,3447842048,3447.842048,107,39,181,4,20251203_174335
1764780144.656023,13468172,3447852032,3447.852032,111,39,182,4,20251203_174335
1764780144.666007,13468211,3447862016,3447.862016,114,38,182,4,20251203_174335
1764780144.6762471,13468251,3447872256,3447.872256,117,39,182,4,20251203_174335
1764780144.6862311,13468290,3447882240,3447.88224,121,39,182,4,20251203_174335
1764780144.6962152,13468329,3447892224,3447.892224,124,38,182,4,20251203_174335
1764780144.7061992,13468368,3447902208,3447.902208,128,39,182,4,20251203_174335
1764780144.7161832,13468407,3447912192,3447.912192,131,39,182,4,20251203_174335
1764780144.726167,13468446,3447922176,3447.922176,135,39,182,4,20251203_174335
1764780144.736151,13468485,3447932160,3447.93216,138,39,183,4,20251203_174335
1764780144.746135,13468524,3447942144,3447.942144,142,39,181,4,20251203_174335
1764780144.756119,13468563,3447952128,3447.952128,145,38,181,4,20251203_174335
1764780144.766103,13468602,3447962112,3447.962112,148,38,181,4,20251203_174335
1764780144.776087,13468641,3447972096,3447.972096,152,38,180,4,20251203_174335
1764780144.786071,13468680,3447982080,3447.98208,155,38,182,4,20251203_174335
1764780144.796055,13468719,3447992064,3447.992064,159,38,182,4,20251203_174335
1764780144.806039,13468758,3448002048,3448.002048,162,37,182,4,20251203_174335
1764780144.8162792,13468798,3448012288,3448.012288,165,37,181,4,20251203_174335
1764780144.8262632,13468837,3448022272,3448.022272,169,36,181,4,20251203_174335
1764780144.836247,13468876,3448032256,3448.032256,172,36,182,4,20251203_174335
1764780144.846231,13468915,3448042240,3448.04224,14,35,183,4,20251203_174335
1764780144.856215,13468954,3448052224,3448.052224,18,35,181,4,20251203_174335
1764780144.866199,13468993,3448062208,3448.062208,21,34,182,4,20251203_174335
1764780144.876183,13469032,3448072192,3448.072192,25,34,182,4,20251203_174335
1764780144.886167,13469071,3448082176,3448.082176,28,34,181,4,20251203_174335
1764780144.896151,13469110,3448092160,3448.09216,32,33,180,4,20251203_174335
1764780144.906135,13469149,3448102144,3448.102144,35,33,181,4,20251203_174335
1764780144.916119,13469188,3448112128,3448.112128,39,32,182,4,20251203_174335
1764780144.926103,13469227,3448122112,3448.122112,42,32,182,4,20251203_174335
1764780144.9360871,13469266,3448132096,3448.132096,45,32,181,4,20251203_174335
1764780144.9460711,13469305,3448142080,3448.14208,49,32,181,4,20251203_174335
1764780144.956311,13469345,3448152320,3448.15232,52,32,181,4,20251203_174335
1764780144.966295,13469384,3448162304,3448.162304,56,31,182,4,20251203_174335
1764780144.976279,13469423,3448172288,3448.172288,59,32,182,4,20251203_174335
1764780144.986263,13469462,3448182272,3448.182272,63,32,181,4,20251203_174335
1764780144.996247,13469501,3448192256,3448.192256,66,33,182,4,20251203_174335
1764780145.006231,13469540,3448202240,3448.20224,70,34,180,4,20251203_174335
1764780145.016215,13469579,3448212224,3448.212224,73,36,180,4,20251203_174335
1764780145.026199,13469618,3448222208,3448.222208,76,36,178,4,20251203_174335
1764780145.036183,13469657,3448232192,3448.232192,80,37,169,4,20251203_174335
1764780145.0461671,13469696,3448242176,3448.242176,83,39,153,4,20251203_174335
1764780145.0561512,13469735,3448252160,3448.25216,87,40,144,4,20251203_174335
1764780145.0661352,13469774,3448262144,3448.262144,90,42,141,4,20251203_174335
1764780145.0761192,13469813,3448272128,3448.272128,94,45,140,4,20251203_174335
1764780145.086103,13469852,3448282112,3448.282112,97,47,140,4,20251203_174335
1764780145.096343,13469892,3448292352,3448.292352,101,49,143,4,20251203_174335
1764780145.106327,13469931,3448302336,3448.302336,104,52,149,4,20251203_174335
1764780145.116311,13469970,3448312320,3448.31232,107,52,158,4,20251203_174335
1764780145.126295,13470009,3448322304,3448.322304,111,53,163,4,20251203_174335
1764780145.136279,13470048,3448332288,3448.332288,114,56,168,4,20251203_174335
1764780145.1462631,13470087,3448342272,3448.342272,118,60,172,4,20251203_174335
1764780145.1562471,13470126,3448352256,3448.352256,121,66,176,4,20251203_174335
1764780145.1662312,13470165,3448362240,3448.36224,125,67,177,4,20251203_174335
1764780145.1762152,13470204,3448372224,3448.372224,128,66,178,4,20251203_174335
1764780145.1861992,13470243,3448382208,3448.382208,131,65,177,4,20251203_174335
1764780145.196183,13470282,3448392192,3448.392192,135,64,178,4,20251203_174335
1764780145.206167,13470321,3448402176,3448.402176,138,64,179,4,20251203_174335
1764780145.216151,13470360,3448412160,3448.41216,142,63,178,4,20251203_174335
1764780145.226135,13470399,3448422144,3448.422144,145,64,179,4,20251203_174335
1764780145.236119,13470438,3448432128,3448.432128,149,65,178,4,20251203_174335
1764780145.246359,13470478,3448442368,3448.442368,152,66,179,4,20251203_174335
1764780145.2563431,13470517,3448452352,3448.452352,156,68,178,4,20251203_174335
1764780145.2663271,13470556,3448462336,3448.462336,159,71,179,4,20251203_174335
1764780145.2763112,13470595,3448472320,3448.47232,162,74,179,4,20251203_174335
1764780145.2862952,13470634,3448482304,3448.482304,166,79,179,4,20251203_174335
1764780145.2962792,13470673,3448492288,3448.492288,169,85,179,4,20251203_174335
1764780145.306263,13470712,3448502272,3448.502272,173,89,178,4,20251203_174335
1764780145.316247,13470751,3448512256,3448.512256,176,92,178,4,20251203_174335
1764780145.326231,13470790,3448522240,3448.52224,180,95,179,4,20251203_174335
1764780145.336215,13470829,3448532224,3448.532224,183,98,179,4,20251203_174335
1764780145.346199,13470868,3448542208,3448.542208,187,101,179,4,20251203_174335
1764780145.356183,13470907,3448552192,3448.552192,190,102,179,4,20251203_174335
1764780145.366167,13470946,3448562176,3448.562176,193,102,179,4,20251203_174335
1764780145.376151,13470985,3448572160,3448.57216,197,103,179,4,20251203_174335
1764780145.3863912,13471025,3448582400,3448.5824,200,105,179,4,20251203_174335
1764780145.3963752,13471064,3448592384,3448.592384,204,105,179,4,20251203_174335
1764780145.4063592,13471103,3448602368,3448.602368,207,106,179,4,20251203_174335
1764780145.416343,13471142,3448612352,3448.612352,211,106,179,4,20251203_174335
1764780145.426327,13471181,3448622336,3448.622336,214,106,178,4,20251203_174335
1764780145.436311,13471220,3448632320,3448.63232,218,105,180,4,20251203_174335
1764780145.446295,13471259,3448642304,3448.642304,221,105,180,4,20251203_174335
1764780145.456279,13471298,3448652288,3448.652288,224,105,180,4,20251203_174335
1764780145.466263,13471337,3448662272,3448.662272,228,107,179,4,20251203_174335
1764780145.476247,13471376,3448672256,3448.672256,231,111,180,4,20251203_174335
1764780145.486231,13471415,3448682240,3448.68224,235,111,180,4,20251203_174335
1764780145.496215,13471454,3448692224,3448.692224,238,113,180,4,20251203_174335
1764780145.5061991,13471493,3448702208,3448.702208,242,113,180,4,20251203_174335
1764780145.5161831,13471532,3448712192,3448.712192,245,112,178,4,20251203_174335
1764780145.5261672,13471571,3448722176,3448.722176,249,112,180,4,20251203_174335
1764780145.536407,13471611,3448732416,3448.732416,252,112,179,4,20251203_174335
1764780145.546391,13471650,3448742400,3448.7424,0,112,178,4,20251203_174335
1764780145.556375,13471689,3448752384,3448.752384,4,113,179,4,20251203_174335
1764780145.566359,13471728,3448762368,3448.762368,7,114,179,4,20251203_174335
1764780145.576343,13471767,3448772352,3448.772352,11,114,178,4,20251203_174335
1764780145.586327,13471806,3448782336,3448.782336,14,115,178,4,20251203_174335
1764780145.596311,13471845,3448792320,3448.79232,18,115,180,4,20251203_174335
1764780145.606295,13471884,3448802304,3448.802304,21,115,179,4,20251203_174335
1764780145.6162791,13471923,3448812288,3448.812288,24,113,179,4,20251203_174335
1764780145.6262631,13471962,3448822272,3448.822272,28,111,179,4,20251203_174335
1764780145.6362472,13472001,3448832256,3448.832256,31,113,178,4,20251203_174335
1764780145.6462312,13472040,3448842240,3448.84224,35,115,178,4,20251203_174335
1764780145.6562152,13472079,3448852224,3448.852224,38,117,177,4,20251203_174335
1764780145.666199,13472118,3448862208,3448.862208,42,118,176,4,20251203_174335
1764780145.676439,13472158,3448872448,3448.872448,45,120,176,4,20251203_174335
1764780145.686423,13472197,3448882432,3448.882432,49,119,173,4,20251203_174335
1764780145.696407,13472236,3448892416,3448.892416,52,119,168,4,20251203_174335
1764780145.706391,13472275,3448902400,3448.9024,55,120,165,4,20251203_174335
1764780145.716375,13472314,3448912384,3448.912384,59,121,160,4,20251203_174335
1764780145.7263591,13472353,3448922368,3448.922368,62,122,158,4,20251203_174335
1764780145.7363431,13472392,3448932352,3448.932352,66,124,155,4,20251203_174335
1764780145.7463272,13472431,3448942336,3448.942336,69,125,154,4,20251203_174335
1764780145.7563112,13472470,3448952320,3448.95232,73,126,154,4,20251203_174335
1764780145.7662952,13472509,3448962304,3448.962304,76,127,154,4,20251203_174335
1764780145.776279,13472548,3448972288,3448.972288,80,127,153,4,20251203_174335
1764780145.786263,13472587,3448982272,3448.982272,83,126,154,4,20251203_174335
1764780145.796247,13472626,3448992256,3448.992256,86,126,154,4,20251203_174335
1764780145.806231,13472665,3449002240,3449.00224,90,126,154,4,20251203_174335
1764780145.816471,13472705,3449012480,3449.01248,93,127,156,4,20251203_174335
1764780145.826455,13472744,3449022464,3449.022464,97,127,154,4,20251203_174335
1764780145.8364391,13472783,3449032448,3449.032448,100,129,156,4,20251203_174335
1764780145.8464231,13472822,3449042432,3449.042432,104,130,155,4,20251203_174335
1764780145.8564072,13472861,3449052416,3449.052416,107,130,156,4,20251203_174335
1764780145.8663912,13472900,3449062400,3449.0624,111,132,156,4,20251203_174335
1764780145.8763752,13472939,3449072384,3449.072384,114,132,156,4,20251203_174335
1764780145.886359,13472978,3449082368,3449.082368,117,134,158,4,20251203_174335
1764780145.896343,13473017,3449092352,3449.092352,121,138,158,4,20251203_174335
