time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1761743969.7606869,980868,251102208,251.102208,66,173,176,4,20251029_142046
1761743969.770671,980907,251112192,251.112192,67,173,175,4,20251029_142046
1761743969.780655,980946,251122176,251.122176,69,173,172,4,20251029_142046
1761743969.790639,980985,251132160,251.13216,249,174,175,4,20251029_142046
1761743969.800623,981024,251142144,251.142144,250,173,175,4,20251029_142046
1761743969.810607,981063,251152128,251.152128,251,175,174,4,20251029_142046
1761743969.820591,981102,251162112,251.162112,253,172,173,4,20251029_142046
1761743969.830575,981141,251172096,251.172096,254,167,172,4,20251029_142046
1761743969.840559,981180,251182080,251.18208,1,167,174,4,20251029_142046
1761743969.850543,981219,251192064,251.192064,2,168,175,4,20251029_142046
1761743969.860527,981258,251202048,251.202048,3,180,174,4,20251029_142046
1761743969.8707669,981298,251212288,251.212288,5,175,174,4,20251029_142046
1761743969.880751,981337,251222272,251.222272,6,175,173,4,20251029_142046
1761743969.890735,981376,251232256,251.232256,8,197,173,4,20251029_142046
1761743969.900719,981415,251242240,251.24224,9,197,173,4,20251029_142046
1761743969.910703,981454,251252224,251.252224,10,197,174,4,20251029_142046
1761743969.920687,981493,251262208,251.262208,12,197,175,4,20251029_142046
1761743969.930671,981532,251272192,251.272192,13,197,174,4,20251029_142046
1761743969.940655,981571,251282176,251.282176,15,197,175,4,20251029_142046
1761743969.950639,981610,251292160,251.29216,16,197,175,4,20251029_142046
1761743969.960623,981649,251302144,251.302144,17,198,175,4,20251029_142046
1761743969.970607,981688,251312128,251.312128,19,198,173,4,20251029_142046
1761743969.980591,981727,251322112,251.322112,20,197,173,4,20251029_142046
1761743969.990575,981766,251332096,251.332096,22,198,172,4,20251029_142046
1761743970.000559,981805,251342080,251.34208,23,197,171,4,20251029_142046
1761743970.010799,981845,251352320,251.35232,24,197,171,4,20251029_142046
1761743970.020783,981884,251362304,251.362304,26,198,170,4,20251029_142046
1761743970.030767,981923,251372288,251.372288,27,197,170,4,20251029_142046
1761743970.040751,981962,251382272,251.382272,29,197,170,4,20251029_142046
1761743970.050735,982001,251392256,251.392256,30,199,172,4,20251029_142046
1761743970.060719,982040,251402240,251.40224,32,198,169,4,20251029_142046
1761743970.070703,982079,251412224,251.412224,33,197,171,4,20251029_142046
1761743970.080687,982118,251422208,251.422208,34,197,172,4,20251029_142046
1761743970.090671,982157,251432192,251.432192,36,197,171,4,20251029_142046
1761743970.100655,982196,251442176,251.442176,37,198,172,4,20251029_142046
1761743970.1106389,982235,251452160,251.45216,39,196,171,4,20251029_142046
1761743970.1206229,982274,251462144,251.462144,40,198,173,4,20251029_142046
1761743970.130607,982313,251472128,251.472128,41,197,172,4,20251029_142046
1761743970.140591,982352,251482112,251.482112,43,197,172,4,20251029_142046
1761743970.150575,982391,251492096,251.492096,44,197,174,4,20251029_142046
1761743970.160815,982431,251502336,251.502336,46,197,174,4,20251029_142046
1761743970.170799,982470,251512320,251.51232,47,196,172,4,20251029_142046
1761743970.180783,982509,251522304,251.522304,48,197,174,4,20251029_142046
1761743970.190767,982548,251532288,251.532288,50,197,173,4,20251029_142046
1761743970.200751,982587,251542272,251.542272,51,196,173,4,20251029_142046
1761743970.210735,982626,251552256,251.552256,53,197,175,4,20251029_142046
1761743970.2207189,982665,251562240,251.56224,54,197,174,4,20251029_142046
1761743970.2307029,982704,251572224,251.572224,55,196,172,4,20251029_142046
1761743970.240687,982743,251582208,251.582208,57,197,175,4,20251029_142046
1761743970.250671,982782,251592192,251.592192,58,196,174,4,20251029_142046
1761743970.260655,982821,251602176,251.602176,60,196,174,4,20251029_142046
1761743970.270639,982860,251612160,251.61216,61,196,175,4,20251029_142046
1761743970.280623,982899,251622144,251.622144,62,193,174,4,20251029_142046
1761743970.290607,982938,251632128,251.632128,64,185,175,4,20251029_142046
1761743970.300847,982978,251642368,251.642368,65,174,172,4,20251029_142046
1761743970.310831,983017,251652352,251.652352,67,173,175,4,20251029_142046
1761743970.320815,983056,251662336,251.662336,68,172,174,4,20251029_142046
1761743970.3307989,983095,251672320,251.67232,69,171,175,4,20251029_142046
1761743970.3407829,983134,251682304,251.682304,71,171,175,4,20251029_142046
1761743970.350767,983173,251692288,251.692288,72,173,175,4,20251029_142046
1761743970.360751,983212,251702272,251.702272,74,177,174,4,20251029_142046
1761743970.370735,983251,251712256,251.712256,75,180,174,4,20251029_142046
1761743970.380719,983290,251722240,251.72224,76,176,175,4,20251029_142046
1761743970.390703,983329,251732224,251.732224,78,169,174,4,20251029_142046
1761743970.400687,983368,251742208,251.742208,79,167,174,4,20251029_142046
1761743970.410671,983407,251752192,251.752192,81,165,175,4,20251029_142046
1761743970.420655,983446,251762176,251.762176,82,165,175,4,20251029_142046
1761743970.430639,983485,251772160,251.77216,83,164,175,4,20251029_142046
1761743970.4408789,983525,251782400,251.7824,85,163,175,4,20251029_142046
1761743970.450863,983564,251792384,251.792384,86,162,175,4,20251029_142046
1761743970.460847,983603,251802368,251.802368,88,161,174,4,20251029_142046
1761743970.470831,983642,251812352,251.812352,89,160,173,4,20251029_142046
1761743970.480815,983681,251822336,251.822336,90,159,175,4,20251029_142046
1761743970.490799,983720,251832320,251.83232,92,159,174,4,20251029_142046
1761743970.500783,983759,251842304,251.842304,93,159,175,4,20251029_142046
1761743970.510767,983798,251852288,251.852288,95,158,175,4,20251029_142046
1761743970.520751,983837,251862272,251.862272,96,157,175,4,20251029_142046
1761743970.530735,983876,251872256,251.872256,97,157,174,4,20251029_142046
1761743970.540719,983915,251882240,251.88224,99,155,176,4,20251029_142046
1761743970.550703,983954,251892224,251.892224,100,156,176,4,20251029_142046
1761743970.560687,983993,251902208,251.902208,102,155,176,4,20251029_142046
1761743970.570671,984032,251912192,251.912192,103,156,175,4,20251029_142046
1761743970.5806549,984071,251922176,251.922176,104,156,174,4,20251029_142046
