time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1760020921.1486728,5257202,1345843712,1345.843712,145,198,176,6,20251009_234328
1760020921.1586568,5257241,1345853696,1345.853696,147,198,177,6,20251009_234328
1760020921.1686406,5257280,1345863680,1345.86368,149,198,176,6,20251009_234328
1760020921.1786246,5257319,1345873664,1345.873664,151,197,177,6,20251009_234328
1760020921.1886086,5257358,1345883648,1345.883648,153,196,177,6,20251009_234328
1760020921.198593,5257397,1345893632,1345.893632,156,186,176,6,20251009_234328
1760020921.208577,5257436,1345903616,1345.903616,158,196,177,6,20251009_234328
1760020921.2185607,5257475,1345913600,1345.9136,160,198,177,6,20251009_234328
1760020921.2285447,5257514,1345923584,1345.923584,162,198,176,6,20251009_234328
1760020921.2385287,5257553,1345933568,1345.933568,164,199,177,6,20251009_234328
1760020921.2485127,5257592,1345943552,1345.943552,166,198,176,6,20251009_234328
1760020921.2584968,5257631,1345953536,1345.953536,169,199,175,6,20251009_234328
1760020921.2684808,5257670,1345963520,1345.96352,171,198,176,6,20251009_234328
1760020921.2787206,5257710,1345973760,1345.97376,173,199,176,6,20251009_234328
1760020921.2887046,5257749,1345983744,1345.983744,175,199,175,6,20251009_234328
1760020921.298689,5257788,1345993728,1345.993728,177,199,176,6,20251009_234328
1760020921.308673,5257827,1346003712,1346.003712,180,198,176,6,20251009_234328
1760020921.3186567,5257866,1346013696,1346.013696,182,196,176,6,20251009_234328
1760020921.3286407,5257905,1346023680,1346.02368,184,191,177,6,20251009_234328
1760020921.3386247,5257944,1346033664,1346.033664,186,187,178,6,20251009_234328
1760020921.3486087,5257983,1346043648,1346.043648,188,191,176,6,20251009_234328
1760020921.3585927,5258022,1346053632,1346.053632,190,193,176,6,20251009_234328
1760020921.3685768,5258061,1346063616,1346.063616,193,196,177,6,20251009_234328
1760020921.3785608,5258100,1346073600,1346.0736,195,197,177,6,20251009_234328
1760020921.3885448,5258139,1346083584,1346.083584,197,199,177,6,20251009_234328
