time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1763031561.8256772,14882559,3809935104,3809.935104,3,197,174,2,20251113_120034
1763031561.8356612,14882598,3809945088,3809.945088,6,197,173,2,20251113_120034
1763031561.8456452,14882637,3809955072,3809.955072,9,197,173,2,20251113_120034
1763031561.8556292,14882676,3809965056,3809.965056,13,197,174,2,20251113_120034
1763031561.8656132,14882715,3809975040,3809.97504,16,197,173,2,20251113_120034
1763031561.8758533,14882755,3809985280,3809.98528,19,197,173,2,20251113_120034
1763031561.8858373,14882794,3809995264,3809.995264,22,197,174,2,20251113_120034
1763031561.895821,14882833,3810005248,3810.005248,26,197,174,2,20251113_120034
1763031561.905805,14882872,3810015232,3810.015232,29,197,174,2,20251113_120034
1763031561.9157894,14882911,3810025216,3810.025216,32,197,173,2,20251113_120034
1763031561.9257734,14882950,3810035200,3810.0352,35,197,174,2,20251113_120034
1763031561.9357572,14882989,3810045184,3810.045184,38,198,173,2,20251113_120034
1763031561.9457412,14883028,3810055168,3810.055168,41,197,173,2,20251113_120034
1763031561.9557252,14883067,3810065152,3810.065152,44,197,174,2,20251113_120034
1763031561.9657092,14883106,3810075136,3810.075136,48,197,173,2,20251113_120034
1763031561.9756932,14883145,3810085120,3810.08512,51,196,174,2,20251113_120034
1763031561.9856772,14883184,3810095104,3810.095104,54,196,173,2,20251113_120034
1763031561.9956613,14883223,3810105088,3810.105088,57,196,173,2,20251113_120034
1763031562.0056453,14883262,3810115072,3810.115072,60,196,173,2,20251113_120034
1763031562.0156293,14883301,3810125056,3810.125056,64,196,172,2,20251113_120034
1763031562.0258694,14883341,3810135296,3810.135296,67,196,168,2,20251113_120034
1763031562.0358531,14883380,3810145280,3810.14528,70,196,158,2,20251113_120034
1763031562.0458372,14883419,3810155264,3810.155264,77,197,153,2,20251113_120034
1763031562.0558212,14883458,3810165248,3810.165248,80,198,148,2,20251113_120034
1763031562.0658052,14883497,3810175232,3810.175232,83,197,144,2,20251113_120034
1763031562.0757892,14883536,3810185216,3810.185216,86,197,143,2,20251113_120034
1763031562.0857732,14883575,3810195200,3810.1952,89,197,142,2,20251113_120034
1763031562.0957572,14883614,3810205184,3810.205184,92,196,141,2,20251113_120034
1763031562.1057413,14883653,3810215168,3810.215168,96,196,141,2,20251113_120034
1763031562.1157253,14883692,3810225152,3810.225152,99,196,140,2,20251113_120034
1763031562.1257093,14883731,3810235136,3810.235136,102,196,141,2,20251113_120034
1763031562.1356933,14883770,3810245120,3810.24512,105,196,143,2,20251113_120034
1763031562.145677,14883809,3810255104,3810.255104,108,196,144,2,20251113_120034
1763031562.155661,14883848,3810265088,3810.265088,112,196,149,2,20251113_120034
1763031562.1659012,14883888,3810275328,3810.275328,115,196,150,2,20251113_120034
1763031562.1758852,14883927,3810285312,3810.285312,118,197,155,2,20251113_120034
1763031562.1858692,14883966,3810295296,3810.295296,121,197,160,2,20251113_120034
1763031562.1958532,14884005,3810305280,3810.30528,124,197,165,2,20251113_120034
1763031562.2058372,14884044,3810315264,3810.315264,128,197,167,2,20251113_120034
1763031562.2158213,14884083,3810325248,3810.325248,131,197,170,2,20251113_120034
1763031562.2258053,14884122,3810335232,3810.335232,134,197,171,2,20251113_120034
1763031562.2357893,14884161,3810345216,3810.345216,137,197,171,2,20251113_120034
1763031562.2457733,14884200,3810355200,3810.3552,140,197,171,2,20251113_120034
1763031562.255757,14884239,3810365184,3810.365184,143,197,171,2,20251113_120034
1763031562.265741,14884278,3810375168,3810.375168,147,197,172,2,20251113_120034
1763031562.2757254,14884317,3810385152,3810.385152,150,197,171,2,20251113_120034
1763031562.2857094,14884356,3810395136,3810.395136,153,197,171,2,20251113_120034
1763031562.2956932,14884395,3810405120,3810.40512,156,197,171,2,20251113_120034
1763031562.3056772,14884434,3810415104,3810.415104,159,197,171,2,20251113_120034
1763031562.3159173,14884474,3810425344,3810.425344,163,198,171,2,20251113_120034
1763031562.3259013,14884513,3810435328,3810.435328,166,198,172,2,20251113_120034
1763031562.3358853,14884552,3810445312,3810.445312,169,199,172,2,20251113_120034
1763031562.3458693,14884591,3810455296,3810.455296,172,197,171,2,20251113_120034
1763031562.3558533,14884630,3810465280,3810.46528,175,198,172,2,20251113_120034
1763031562.365837,14884669,3810475264,3810.475264,179,198,172,2,20251113_120034
1763031562.3758214,14884708,3810485248,3810.485248,182,198,172,2,20251113_120034
1763031562.3858054,14884747,3810495232,3810.495232,185,198,172,2,20251113_120034
1763031562.3957891,14884786,3810505216,3810.505216,188,198,172,2,20251113_120034
1763031562.4057732,14884825,3810515200,3810.5152,191,198,172,2,20251113_120034
1763031562.4157572,14884864,3810525184,3810.525184,194,198,172,2,20251113_120034
1763031562.4257412,14884903,3810535168,3810.535168,198,199,172,2,20251113_120034
1763031562.4357252,14884942,3810545152,3810.545152,201,199,172,2,20251113_120034
1763031562.4457092,14884981,3810555136,3810.555136,204,199,172,2,20251113_120034
1763031562.4559493,14885021,3810565376,3810.565376,207,199,173,2,20251113_120034
1763031562.465933,14885060,3810575360,3810.57536,210,199,171,2,20251113_120034
1763031562.475917,14885099,3810585344,3810.585344,214,199,172,2,20251113_120034
1763031562.4859014,14885138,3810595328,3810.595328,217,199,172,2,20251113_120034
1763031562.4958854,14885177,3810605312,3810.605312,220,199,172,2,20251113_120034
1763031562.5058692,14885216,3810615296,3810.615296,223,200,172,2,20251113_120034
1763031562.5158532,14885255,3810625280,3810.62528,226,200,172,2,20251113_120034
1763031562.5258372,14885294,3810635264,3810.635264,229,200,172,2,20251113_120034
1763031562.5358212,14885333,3810645248,3810.645248,233,199,172,2,20251113_120034
1763031562.5458052,14885372,3810655232,3810.655232,236,200,172,2,20251113_120034
1763031562.5557892,14885411,3810665216,3810.665216,239,199,172,2,20251113_120034
1763031562.5657732,14885450,3810675200,3810.6752,242,199,172,2,20251113_120034
1763031562.5757573,14885489,3810685184,3810.685184,245,199,170,2,20251113_120034
1763031562.5857413,14885528,3810695168,3810.695168,249,199,172,2,20251113_120034
1763031562.5957253,14885567,3810705152,3810.705152,252,199,172,2,20251113_120034
1763031562.6059654,14885607,3810715392,3810.715392,0,199,172,2,20251113_120034
1763031562.6159492,14885646,3810725376,3810.725376,3,200,171,2,20251113_120034
