k,a_k,b_k,amplitude,phase
0,-0.400846169846619,0,0.400846169846619,-3.14159265358979
1,-0.199719919508288,-0.393783432458535,0.44153531900316,2.0401731167788
2,0.282867413019404,-0.429303291563946,0.51411602727004,0.98819079148208
3,0.278681599403336,0.178341000354728,0.330860916781549,-0.569274437295829
4,0.0409569609547977,0.248524662269999,0.251876915192857,-1.40746403507156
5,-0.168159417729215,-0.0133511463505229,0.16868859736183,3.06236308477161
6,-0.0467304573972265,-0.0746479770651799,0.0880684740896402,2.13012234833608
7,0.0692308929666917,-0.0505832399065825,0.0857413593338268,0.630998720337345
8,0.0205696636079975,-0.00221111128480469,0.020688162655489,0.107082618620809
9,0.00144077257771717,0.0289625478064222,0.0289983620409842,-1.52109124318618
10,0.0119800685850077,0.0163172829985687,0.0202429189534728,-0.937487350057094
