k,a_k,b_k,amplitude,phase
0,-0.32984270558338,0,0.32984270558338,-3.14159265358979
1,0.00287276504836434,-0.513357676446168,0.51336571442319,1.56520035503227
2,0.460964174577203,-0.165736491270124,0.489853605460013,0.345151047910279
3,0.100286835525963,0.396513955834054,0.408999714609903,-1.32307007581219
4,-0.217212797059586,0.112853096341221,0.244779943133112,-2.66242696578764
5,-0.105776239079959,-0.167850315686278,0.198399448663256,2.13311331199549
6,0.0660615267072818,-0.045017884453771,0.079942074226217,0.598170167940809
7,0.0660232542067636,0.0161767542802094,0.0679761537238847,-0.240282375674512
8,0.00609467863141115,0.00882783652408326,0.0107273391535887,-0.966546994991531
9,0.00150909190526096,0.0295630092683252,0.029601501235201,-1.51979396905297
10,-0.00594714716124915,0.00666875239727915,0.00893536892880032,-2.29905866453381
