time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1779981471.9645176,893759,228802304,228.802304,69,198,150,4,20260528_171933
1779981471.9747577,893799,228812544,228.812544,72,198,149,4,20260528_171933
1779981471.9847414,893838,228822528,228.822528,75,198,150,4,20260528_171933
1779981471.9947257,893877,228832512,228.832512,78,198,149,4,20260528_171933
1779981472.0047095,893916,228842496,228.842496,81,198,148,4,20260528_171933
1779981472.0146935,893955,228852480,228.85248,84,198,150,4,20260528_171933
1779981472.0246775,893994,228862464,228.862464,87,198,148,4,20260528_171933
1779981472.0346615,894033,228872448,228.872448,90,197,142,4,20260528_171933
1779981472.0446455,894072,228882432,228.882432,93,197,136,4,20260528_171933
1779981472.0546296,894111,228892416,228.892416,96,197,128,4,20260528_171933
1779981472.0646136,894150,228902400,228.9024,99,197,116,4,20260528_171933
1779981472.0745976,894189,228912384,228.912384,103,197,107,4,20260528_171933
1779981472.0845816,894228,228922368,228.922368,106,197,100,4,20260528_171933
1779981472.0945656,894267,228932352,228.932352,109,197,97,4,20260528_171933
1779981472.1045496,894306,228942336,228.942336,112,197,97,4,20260528_171933
1779981472.1147895,894346,228952576,228.952576,115,195,98,4,20260528_171933
1779981472.1247735,894385,228962560,228.96256,118,193,99,4,20260528_171933
1779981472.1347575,894424,228972544,228.972544,121,192,101,4,20260528_171933
1779981472.1447415,894463,228982528,228.982528,124,191,102,4,20260528_171933
1779981472.1547256,894502,228992512,228.992512,127,188,104,4,20260528_171933
1779981472.1647096,894541,229002496,229.002496,130,190,105,4,20260528_171933
1779981472.1746936,894580,229012480,229.01248,133,193,107,4,20260528_171933
1779981472.1846776,894619,229022464,229.022464,136,194,108,4,20260528_171933
1779981472.1946616,894658,229032448,229.032448,139,195,113,4,20260528_171933
1779981472.2046456,894697,229042432,229.042432,142,196,119,4,20260528_171933
1779981472.2146297,894736,229052416,229.052416,145,196,124,4,20260528_171933
1779981472.2246137,894775,229062400,229.0624,148,196,127,4,20260528_171933
1779981472.2345977,894814,229072384,229.072384,151,196,131,4,20260528_171933
1779981472.2445817,894853,229082368,229.082368,155,197,134,4,20260528_171933
1779981472.2548215,894893,229092608,229.092608,158,196,135,4,20260528_171933
1779981472.2648056,894932,229102592,229.102592,161,197,135,4,20260528_171933
1779981472.2747896,894971,229112576,229.112576,164,196,134,4,20260528_171933
1779981472.2847736,895010,229122560,229.12256,167,196,136,4,20260528_171933
1779981472.2947576,895049,229132544,229.132544,149,196,136,4,20260528_171933
1779981472.3047416,895088,229142528,229.142528,152,196,138,4,20260528_171933
1779981472.3147256,895127,229152512,229.152512,155,196,139,4,20260528_171933
1779981472.3247097,895166,229162496,229.162496,158,195,139,4,20260528_171933
1779981472.3346937,895205,229172480,229.17248,161,195,139,4,20260528_171933
1779981472.3446774,895244,229182464,229.182464,164,195,137,4,20260528_171933
1779981472.3546617,895283,229192448,229.192448,167,195,133,4,20260528_171933
1779981472.3646455,895322,229202432,229.202432,170,196,129,4,20260528_171933
