k,a_k,b_k,amplitude,phase
0,-0.294744139420814,0,0.294744139420814,-3.14159265358979
1,-0.283236923942588,-0.492077676664003,0.567770723933087,2.09307684646137
2,0.245612893686787,-0.299364006965756,0.387226680655905,0.883710272599805
3,0.366573276773375,0.235833646125367,0.435882410621436,-0.571683684914861
4,0.00285137915460712,0.230754587151738,0.230772203383883,-1.55844019521005
5,-0.229833324020937,-0.0507851326868487,0.235377327991745,2.92412203422049
6,-0.0483147812784832,-0.126717977906046,0.135616238019585,1.93505963321089
7,0.148766375417935,-0.0221002286122107,0.150398984570049,0.147478022521478
8,0.0703629097647918,0.0554774568397661,0.0896029424069117,-0.667656901452762
9,-0.0377726859452988,0.0449702402661713,0.0587290244523043,-2.26942595725916
10,-0.0467422962820042,-0.000204806045232148,0.0467427449689343,3.13721108163276
