time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1780262807.231501,8034941,2056944896,2056.944896,193,54,181,4,20260531_232839
1780262807.2412293,8034979,2056954624,2056.954624,197,54,181,4,20260531_232839
1780262807.2512133,8035018,2056964608,2056.964608,200,54,181,4,20260531_232839
1780262807.2614534,8035058,2056974848,2056.974848,204,54,181,4,20260531_232839
1780262807.2714374,8035097,2056984832,2056.984832,207,54,181,4,20260531_232839
1780262807.2814214,8035136,2056994816,2056.994816,211,55,181,4,20260531_232839
1780262807.2914054,8035175,2057004800,2057.0048,215,56,181,4,20260531_232839
1780262807.3013897,8035214,2057014784,2057.014784,218,57,181,4,20260531_232839
1780262807.3113737,8035253,2057024768,2057.024768,222,57,181,4,20260531_232839
1780262807.3213573,8035292,2057034752,2057.034752,225,57,181,4,20260531_232839
1780262807.3313413,8035331,2057044736,2057.044736,229,57,181,4,20260531_232839
1780262807.3413253,8035370,2057054720,2057.05472,232,56,181,4,20260531_232839
1780262807.3513093,8035409,2057064704,2057.064704,236,55,181,4,20260531_232839
1780262807.3612933,8035448,2057074688,2057.074688,240,54,181,4,20260531_232839
1780262807.371277,8035487,2057084672,2057.084672,243,52,181,4,20260531_232839
1780262807.3815174,8035527,2057094912,2057.094912,247,51,182,4,20260531_232839
1780262807.3915014,8035566,2057104896,2057.104896,250,51,181,4,20260531_232839
1780262807.4014854,8035605,2057114880,2057.11488,254,50,181,4,20260531_232839
1780262807.4114697,8035644,2057124864,2057.124864,3,50,181,4,20260531_232839
1780262807.4214537,8035683,2057134848,2057.134848,6,53,181,4,20260531_232839
1780262807.4314373,8035722,2057144832,2057.144832,10,53,181,4,20260531_232839
1780262807.4414213,8035761,2057154816,2057.154816,13,55,181,4,20260531_232839
1780262807.4514053,8035800,2057164800,2057.1648,17,56,182,4,20260531_232839
1780262807.4613893,8035839,2057174784,2057.174784,20,56,181,4,20260531_232839
1780262807.471373,8035878,2057184768,2057.184768,24,56,180,4,20260531_232839
1780262807.481357,8035917,2057194752,2057.194752,27,56,181,4,20260531_232839
1780262807.4913414,8035956,2057204736,2057.204736,31,56,181,4,20260531_232839
1780262807.5013254,8035995,2057214720,2057.21472,35,56,181,4,20260531_232839
1780262807.5113094,8036034,2057224704,2057.224704,38,56,179,4,20260531_232839
1780262807.5215497,8036074,2057234944,2057.234944,42,56,173,4,20260531_232839
1780262807.5315332,8036113,2057244928,2057.244928,45,56,155,4,20260531_232839
1780262807.5415173,8036152,2057254912,2057.254912,49,56,145,4,20260531_232839
1780262807.5515013,8036191,2057264896,2057.264896,52,55,136,4,20260531_232839
1780262807.5614853,8036230,2057274880,2057.27488,56,55,132,4,20260531_232839
1780262807.5714693,8036269,2057284864,2057.284864,59,52,133,4,20260531_232839
1780262807.581453,8036308,2057294848,2057.294848,63,52,138,4,20260531_232839
1780262807.591437,8036347,2057304832,2057.304832,67,52,144,4,20260531_232839
1780262807.6014214,8036386,2057314816,2057.314816,70,51,152,4,20260531_232839
1780262807.6114054,8036425,2057324800,2057.3248,74,48,159,4,20260531_232839
1780262807.6213894,8036464,2057334784,2057.334784,77,48,165,4,20260531_232839
1780262807.6313734,8036503,2057344768,2057.344768,81,50,170,4,20260531_232839
1780262807.6413574,8036542,2057354752,2057.354752,85,49,172,4,20260531_232839
1780262807.6513414,8036581,2057364736,2057.364736,88,49,176,4,20260531_232839
1780262807.6615813,8036621,2057374976,2057.374976,91,51,178,4,20260531_232839
1780262807.6715653,8036660,2057384960,2057.38496,95,51,178,4,20260531_232839
1780262807.6815493,8036699,2057394944,2057.394944,99,52,178,4,20260531_232839
1780262807.691533,8036738,2057404928,2057.404928,102,53,180,4,20260531_232839
1780262807.701517,8036777,2057414912,2057.414912,106,53,179,4,20260531_232839
1780262807.7115014,8036816,2057424896,2057.424896,110,53,178,4,20260531_232839
1780262807.7214854,8036855,2057434880,2057.43488,113,53,179,4,20260531_232839
1780262807.7314694,8036894,2057444864,2057.444864,117,53,179,4,20260531_232839
1780262807.7414534,8036933,2057454848,2057.454848,120,52,179,4,20260531_232839
1780262807.7514374,8036972,2057464832,2057.464832,124,51,179,4,20260531_232839
1780262807.7614214,8037011,2057474816,2057.474816,127,51,179,4,20260531_232839
1780262807.7714057,8037050,2057484800,2057.4848,131,50,179,4,20260531_232839
1780262807.7813897,8037089,2057494784,2057.494784,134,48,179,4,20260531_232839
1780262807.7913733,8037128,2057504768,2057.504768,1,48,182,4,20260531_232839
1780262807.8013573,8037167,2057514752,2057.514752,4,47,180,4,20260531_232839
1780262807.811597,8037207,2057524992,2057.524992,8,47,180,4,20260531_232839
1780262807.8215814,8037246,2057534976,2057.534976,11,47,180,4,20260531_232839
1780262807.8315654,8037285,2057544960,2057.54496,15,46,180,4,20260531_232839
1780262807.8415494,8037324,2057554944,2057.554944,19,46,180,4,20260531_232839
1780262807.8515334,8037363,2057564928,2057.564928,22,46,180,4,20260531_232839
1780262807.8615174,8037402,2057574912,2057.574912,26,47,180,4,20260531_232839
1780262807.8715014,8037441,2057584896,2057.584896,29,49,180,4,20260531_232839
