psi,gamma_agent_1,gamma_agent_2,gamma_true
-3.14159265358979,-0.0141174801437795,-0.112960837987336,-0.098843357843556
-3.12929679193191,-0.0141042215782514,-0.113107687384192,-0.0990034658059407
-3.11700093027402,-0.0140835351615206,-0.113236478782888,-0.0991529436213673
-3.10470506861614,-0.0140554492811198,-0.113347375328726,-0.0992919260476059
-3.09240920695825,-0.0140199984962873,-0.113440552382529,-0.0994205538862421
-3.08011334530036,-0.0139772234988951,-0.113516197297215,-0.0995389737983198
-3.06781748364248,-0.0139271710678961,-0.113574509174724,-0.0996473381068278
-3.05552162198459,-0.0138698940173474,-0.113615698603616,-0.0997458045862684
-3.04322576032671,-0.0138054511380713,-0.113639987377638,-0.0998345362395665
-3.03092989866882,-0.013733907133025,-0.113647608195629,-0.0999137010626037
-3.01863403701094,-0.0136553325464576,-0.113638804343136,-0.0999834717966784
-3.00633817535305,-0.0135698036869386,-0.113613829356157,-0.100044025669219
-2.99404231369516,-0.0134774025443523,-0.113572946667444,-0.100095544123092
-2.98174645203728,-0.013378216700957,-0.113516429235836,-0.100138212534879
-2.96945059037939,-0.0132723392366162,-0.11344455915911,-0.100172219922494
-2.95715472872151,-0.013159868628316,-0.113357627270876,-0.10019775864256
-2.94485886706362,-0.0130409086440897,-0.113255932722053,-0.100215024077964
-2.93256300540574,-0.0129155682314766,-0.1131397825475,-0.100224214316023
-2.92026714374785,-0.0127839614006486,-0.113009491218387,-0.100225529817738
-2.90797128208997,-0.0126462071023454,-0.112865380180937,-0.100219173078591
-2.89567542043208,-0.0125024291007646,-0.112707777382163,-0.100205348281398
-2.88337955877419,-0.0123527558415579,-0.112537016783266,-0.100184260941708
-2.87108369711631,-0.0121973203150922,-0.112353437861376,-0.100156117546284
-2.85878783545842,-0.0120362599151392,-0.112157385100333,-0.100121125185194
-2.84649197380054,-0.0118697162931614,-0.111949207471228,-0.100079491178067
-2.83419611214265,-0.0116978352083688,-0.111729257903442,-0.100031422695073
-2.82190025048477,-0.0115207663737257,-0.111497892746932,-0.0999771263732068
-2.80960438882688,-0.0113386632980893,-0.11125547122654,-0.0999168079284509
-2.79730852716899,-0.0111516831246705,-0.111002354889097,-0.0998506717644266
-2.78501266551111,-0.0109599864660059,-0.110738907044132,-0.0997789205781258
-2.77271680385322,-0.0107637372356395,-0.110465492198983,-0.099701754963343
-2.76042094219534,-0.0105631024767126,-0.110182475489139,-0.0996193730124263
-2.74812508053745,-0.0103582521876641,-0.109890222104639,-0.0995319699169751
-2.73582921887957,-0.0101493591452498,-0.109589096713366,-0.0994397375681158
-2.72353335722168,-0.00993659872508762,-0.109279462882083,-0.0993428641569957
-2.71123749556379,-0.00972014871994135,-0.108961682496076,-0.0992415337761345
-2.69894163390591,-0.00950018915595745,-0.108636115178236,-0.0991359260222781
-2.68664577224802,-0.00927690210707074,-0.108303117708474,-0.0990262156014031
-2.67434991059014,-0.0090504715077972,-0.107963043444314,-0.0989125719365163
-2.66205404893225,-0.00882108296463356,-0.107616241743533,-0.0987951587788997
-2.64975818727437,-0.00858892356628475,-0.10726305738973,-0.0986741338234453
-2.63746232561648,-0.00835418169294099,-0.106903830021668,-0.0985496483287269
-2.62516646395859,-0.00811704682482733,-0.106538893567276,-0.0984218467424489
-2.61287060230071,-0.00787770935024864,-0.10616857568316,-0.0982908663329118
-2.60057474064282,-0.00763636037335342,-0.105793197200481,-0.0981568368271276
-2.58827887898494,-0.00739319152183951,-0.105413071578053,-0.098019880056213
-2.57598301732705,-0.00714839475482445,-0.105028504363508,-0.0978801096086832
-2.56368715566917,-0.00690216217110261,-0.104639792663361,-0.0977376304922579
-2.55139129401128,-0.00665468581801001,-0.104247224622798,-0.0975925388047877
-2.53909543235339,-0.00640615750111697,-0.103851078916012,-0.0974449214148951
-2.52679957069551,-0.00615676859496656,-0.103451624247885,-0.0972948556529182
-2.51450370903762,-0.00590670985507578,-0.103049118867805,-0.097142409012729
-2.50220784737974,-0.00565617123141367,-0.102643810096407,-0.0969876388649929
-2.48991198572185,-0.00540534168356854,-0.102235933865984,-0.0968305921824158
-2.47761612406397,-0.00515440899781422,-0.101825714275331,-0.0966713052775172
