time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1779876762.5403757,7099431,1817454336,1817.454336,130,196,172,4,20260527_121508
1779876762.5503595,7099470,1817464320,1817.46432,134,196,172,4,20260527_121508
1779876762.5603435,7099509,1817474304,1817.474304,137,196,172,4,20260527_121508
1779876762.5705838,7099549,1817484544,1817.484544,141,196,172,4,20260527_121508
1779876762.5805678,7099588,1817494528,1817.494528,144,196,172,4,20260527_121508
1779876762.590552,7099627,1817504512,1817.504512,148,196,171,4,20260527_121508
1779876762.600536,7099666,1817514496,1817.514496,151,197,160,4,20260527_121508
1779876762.61052,7099705,1817524480,1817.52448,155,197,142,4,20260527_121508
1779876762.6205037,7099744,1817534464,1817.534464,159,197,127,4,20260527_121508
1779876762.6304877,7099783,1817544448,1817.544448,162,197,117,4,20260527_121508
1779876762.6404717,7099822,1817554432,1817.554432,166,197,109,4,20260527_121508
1779876762.6504557,7099861,1817564416,1817.564416,169,197,107,4,20260527_121508
1779876762.6606958,7099901,1817574656,1817.574656,173,197,108,4,20260527_121508
1779876762.6706798,7099940,1817584640,1817.58464,176,197,116,4,20260527_121508
1779876762.6806638,7099979,1817594624,1817.594624,180,197,123,4,20260527_121508
1779876762.6906478,7100018,1817604608,1817.604608,184,198,139,4,20260527_121508
1779876762.700632,7100057,1817614592,1817.614592,187,197,155,4,20260527_121508
1779876762.710616,7100096,1817624576,1817.624576,191,197,165,4,20260527_121508
1779876762.7206,7100135,1817634560,1817.63456,194,197,171,4,20260527_121508
1779876762.7305837,7100174,1817644544,1817.644544,198,197,170,4,20260527_121508
1779876762.7405677,7100213,1817654528,1817.654528,201,197,172,4,20260527_121508
1779876762.7508078,7100253,1817664768,1817.664768,205,197,172,4,20260527_121508
1779876762.7607918,7100292,1817674752,1817.674752,209,197,171,4,20260527_121508
1779876762.7707758,7100331,1817684736,1817.684736,212,196,171,4,20260527_121508
1779876762.7807598,7100370,1817694720,1817.69472,216,196,170,4,20260527_121508
1779876762.7907438,7100409,1817704704,1817.704704,219,196,170,4,20260527_121508
1779876762.8007278,7100448,1817714688,1817.714688,223,197,168,4,20260527_121508
1779876762.810712,7100487,1817724672,1817.724672,226,197,167,4,20260527_121508
1779876762.820696,7100526,1817734656,1817.734656,230,196,167,4,20260527_121508
1779876762.83068,7100565,1817744640,1817.74464,233,197,166,4,20260527_121508
1779876762.8406637,7100604,1817754624,1817.754624,237,197,166,4,20260527_121508
1779876762.8509035,7100644,1817764864,1817.764864,241,198,165,4,20260527_121508
1779876762.8608878,7100683,1817774848,1817.774848,244,198,165,4,20260527_121508
1779876762.8708718,7100722,1817784832,1817.784832,248,198,164,4,20260527_121508
1779876762.8808558,7100761,1817794816,1817.794816,251,198,163,4,20260527_121508
1779876762.8908398,7100800,1817804800,1817.8048,0,198,161,4,20260527_121508
1779876762.9008238,7100839,1817814784,1817.814784,4,198,158,4,20260527_121508
1779876762.9108078,7100878,1817824768,1817.824768,7,198,156,4,20260527_121508
1779876762.920792,7100917,1817834752,1817.834752,11,198,152,4,20260527_121508
1779876762.930776,7100956,1817844736,1817.844736,14,198,149,4,20260527_121508
1779876762.9410155,7100996,1817854976,1817.854976,18,198,147,4,20260527_121508
1779876762.9509995,7101035,1817864960,1817.86496,22,198,143,4,20260527_121508
1779876762.9609838,7101074,1817874944,1817.874944,25,198,140,4,20260527_121508
1779876762.9709678,7101113,1817884928,1817.884928,29,198,137,4,20260527_121508
1779876762.9809518,7101152,1817894912,1817.894912,32,198,133,4,20260527_121508
1779876762.9909358,7101191,1817904896,1817.904896,36,198,133,4,20260527_121508
1779876763.0009198,7101230,1817914880,1817.91488,39,198,127,4,20260527_121508
1779876763.0109038,7101269,1817924864,1817.924864,43,198,123,4,20260527_121508
1779876763.020888,7101308,1817934848,1817.934848,46,198,118,4,20260527_121508
1779876763.030872,7101347,1817944832,1817.944832,168,198,113,4,20260527_121508
1779876763.0411117,7101387,1817955072,1817.955072,171,198,113,4,20260527_121508
1779876763.0510955,7101426,1817965056,1817.965056,175,198,112,4,20260527_121508
1779876763.0610795,7101465,1817975040,1817.97504,178,198,112,4,20260527_121508
1779876763.0710638,7101504,1817985024,1817.985024,182,198,111,4,20260527_121508
1779876763.0810478,7101543,1817995008,1817.995008,186,198,110,4,20260527_121508
1779876763.0910318,7101582,1818004992,1818.004992,189,197,110,4,20260527_121508
1779876763.1010158,7101621,1818014976,1818.014976,193,197,111,4,20260527_121508
1779876763.1109998,7101660,1818024960,1818.02496,196,197,110,4,20260527_121508
1779876763.1209838,7101699,1818034944,1818.034944,200,197,110,4,20260527_121508
1779876763.1312237,7101739,1818045184,1818.045184,203,197,114,4,20260527_121508
1779876763.1412077,7101778,1818055168,1818.055168,207,196,123,4,20260527_121508
1779876763.1511917,7101817,1818065152,1818.065152,211,197,131,4,20260527_121508
1779876763.1611755,7101856,1818075136,1818.075136,214,197,146,4,20260527_121508
1779876763.1711595,7101895,1818085120,1818.08512,218,196,159,4,20260527_121508
1779876763.1811438,7101934,1818095104,1818.095104,221,196,168,4,20260527_121508
1779876763.1911278,7101973,1818105088,1818.105088,225,196,169,4,20260527_121508
1779876763.2011118,7102012,1818115072,1818.115072,228,197,170,4,20260527_121508
1779876763.2110958,7102051,1818125056,1818.125056,232,197,169,4,20260527_121508
1779876763.221336,7102091,1818135296,1818.135296,236,198,167,4,20260527_121508
