time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1762266582.4463727,5453497,1396095232,1396.095232,25,53,178,4,20251104_153100
1762266582.4553328,5453532,1396104192,1396.104192,27,53,179,4,20251104_153100
1762266582.4653168,5453571,1396114176,1396.114176,30,52,177,4,20251104_153100
1762266582.4755569,5453611,1396124416,1396.124416,33,53,179,4,20251104_153100
1762266582.4855406,5453650,1396134400,1396.1344,35,52,178,4,20251104_153100
1762266582.4955246,5453689,1396144384,1396.144384,38,52,179,4,20251104_153100
1762266582.505509,5453728,1396154368,1396.154368,41,52,178,4,20251104_153100
1762266582.515493,5453767,1396164352,1396.164352,44,50,179,4,20251104_153100
1762266582.5254767,5453806,1396174336,1396.174336,47,49,179,4,20251104_153100
1762266582.5354607,5453845,1396184320,1396.18432,50,47,182,4,20251104_153100
1762266582.5454447,5453884,1396194304,1396.194304,52,46,179,4,20251104_153100
1762266582.5554287,5453923,1396204288,1396.204288,55,44,177,4,20251104_153100
1762266582.5654128,5453962,1396214272,1396.214272,58,44,179,4,20251104_153100
1762266582.5753968,5454001,1396224256,1396.224256,61,43,177,4,20251104_153100
1762266582.5853808,5454040,1396234240,1396.23424,64,43,178,4,20251104_153100
1762266582.5953648,5454079,1396244224,1396.244224,66,43,178,4,20251104_153100
1762266582.6053488,5454118,1396254208,1396.254208,69,43,177,4,20251104_153100
1762266582.6153328,5454157,1396264192,1396.264192,72,42,175,4,20251104_153100
1762266582.6255727,5454197,1396274432,1396.274432,75,43,156,4,20251104_153100
1762266582.6355567,5454236,1396284416,1396.284416,78,43,131,4,20251104_153100
1762266582.6455407,5454275,1396294400,1396.2944,80,43,122,4,20251104_153100
1762266582.6555247,5454314,1396304384,1396.304384,83,42,113,4,20251104_153100
1762266582.6655087,5454353,1396314368,1396.314368,86,42,108,4,20251104_153100
1762266582.6754928,5454392,1396324352,1396.324352,89,43,107,4,20251104_153100
1762266582.6854768,5454431,1396334336,1396.334336,92,44,107,4,20251104_153100
1762266582.6954608,5454470,1396344320,1396.34432,94,44,108,4,20251104_153100
1762266582.7054448,5454509,1396354304,1396.354304,97,44,108,4,20251104_153100
1762266582.7154288,5454548,1396364288,1396.364288,100,45,109,4,20251104_153100
1762266582.7254128,5454587,1396374272,1396.374272,103,44,110,4,20251104_153100
1762266582.7353966,5454626,1396384256,1396.384256,106,45,111,4,20251104_153100
1762266582.7453806,5454665,1396394240,1396.39424,109,46,112,4,20251104_153100
1762266582.755365,5454704,1396404224,1396.404224,111,45,115,4,20251104_153100
1762266582.7656047,5454744,1396414464,1396.414464,114,46,116,4,20251104_153100
1762266582.7755888,5454783,1396424448,1396.424448,117,47,121,4,20251104_153100
1762266582.7855728,5454822,1396434432,1396.434432,120,47,125,4,20251104_153100
1762266582.7955568,5454861,1396444416,1396.444416,122,49,130,4,20251104_153100
1762266582.8055408,5454900,1396454400,1396.4544,125,49,138,4,20251104_153100
1762266582.8155248,5454939,1396464384,1396.464384,128,50,148,4,20251104_153100
1762266582.8255088,5454978,1396474368,1396.474368,131,50,154,4,20251104_153100
1762266582.8354928,5455017,1396484352,1396.484352,134,50,159,4,20251104_153100
1762266582.8454766,5455056,1396494336,1396.494336,137,50,163,4,20251104_153100
1762266582.8554606,5455095,1396504320,1396.50432,139,50,167,4,20251104_153100
1762266582.865445,5455134,1396514304,1396.514304,142,50,171,4,20251104_153100
1762266582.875429,5455173,1396524288,1396.524288,145,50,172,4,20251104_153100
1762266582.8854127,5455212,1396534272,1396.534272,148,50,172,4,20251104_153100
1762266582.8953967,5455251,1396544256,1396.544256,151,50,171,4,20251104_153100
1762266582.9056368,5455291,1396554496,1396.554496,153,50,172,4,20251104_153100
1762266582.9156208,5455330,1396564480,1396.56448,156,50,174,4,20251104_153100
