time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1762444366.0572414,13361599,3420569344,3420.569344,71,93,163,2,20251106_165357
1762444366.0659454,13361633,3420578048,3420.578048,74,93,163,2,20251106_165357
1762444366.0759294,13361672,3420588032,3420.588032,77,93,163,2,20251106_165357
1762444366.0861695,13361712,3420598272,3420.598272,80,93,164,2,20251106_165357
1762444366.0961535,13361751,3420608256,3420.608256,84,93,163,2,20251106_165357
1762444366.1061375,13361790,3420618240,3420.61824,87,93,163,2,20251106_165357
1762444366.1161213,13361829,3420628224,3420.628224,90,92,163,2,20251106_165357
1762444366.1261053,13361868,3420638208,3420.638208,93,89,162,2,20251106_165357
1762444366.136089,13361907,3420648192,3420.648192,96,89,159,2,20251106_165357
1762444366.146073,13361946,3420658176,3420.658176,100,91,147,2,20251106_165357
1762444366.1560574,13361985,3420668160,3420.66816,103,94,135,2,20251106_165357
1762444366.1660414,13362024,3420678144,3420.678144,106,95,125,2,20251106_165357
1762444366.1760254,13362063,3420688128,3420.688128,109,93,115,2,20251106_165357
1762444366.1860094,13362102,3420698112,3420.698112,112,90,109,2,20251106_165357
1762444366.1959934,13362141,3420708096,3420.708096,116,84,109,2,20251106_165357
1762444366.2059774,13362180,3420718080,3420.71808,119,79,108,2,20251106_165357
1762444366.2159617,13362219,3420728064,3420.728064,122,76,108,2,20251106_165357
1762444366.2262013,13362259,3420738304,3420.738304,125,75,108,2,20251106_165357
1762444366.2361853,13362298,3420748288,3420.748288,128,76,105,2,20251106_165357
1762444366.246169,13362337,3420758272,3420.758272,132,76,107,2,20251106_165357
1762444366.256153,13362376,3420768256,3420.768256,135,77,107,2,20251106_165357
1762444366.2661374,13362415,3420778240,3420.77824,138,78,108,2,20251106_165357
1762444366.2761214,13362454,3420788224,3420.788224,141,77,107,2,20251106_165357
1762444366.2861054,13362493,3420798208,3420.798208,144,77,106,2,20251106_165357
1762444366.2960894,13362532,3420808192,3420.808192,147,76,106,2,20251106_165357
1762444366.3060734,13362571,3420818176,3420.818176,150,75,105,2,20251106_165357
1762444366.3160574,13362610,3420828160,3420.82816,154,75,106,2,20251106_165357
1762444366.3260417,13362649,3420838144,3420.838144,157,74,107,2,20251106_165357
1762444366.3360257,13362688,3420848128,3420.848128,160,74,106,2,20251106_165357
1762444366.3460095,13362727,3420858112,3420.858112,163,74,107,2,20251106_165357
1762444366.3559935,13362766,3420868096,3420.868096,167,76,107,2,20251106_165357
1762444366.3659773,13362805,3420878080,3420.87808,170,77,107,2,20251106_165357
1762444366.3762174,13362845,3420888320,3420.88832,173,79,107,2,20251106_165357
1762444366.3862014,13362884,3420898304,3420.898304,176,81,107,2,20251106_165357
