time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1762265763.0094576,2252571,576658176,576.658176,162,60,179,4,20251104_151719
1762265763.0194416,2252610,576668160,576.66816,164,60,180,4,20251104_151719
1762265763.0294256,2252649,576678144,576.678144,165,60,180,4,20251104_151719
1762265763.0394096,2252688,576688128,576.688128,167,60,181,4,20251104_151719
1762265763.0493937,2252727,576698112,576.698112,169,60,180,4,20251104_151719
1762265763.0593777,2252766,576708096,576.708096,171,62,181,4,20251104_151719
1762265763.0693617,2252805,576718080,576.71808,173,60,180,4,20251104_151719
1762265763.0796015,2252845,576728320,576.72832,174,59,179,4,20251104_151719
1762265763.0895855,2252884,576738304,576.738304,176,59,180,4,20251104_151719
1762265763.0995696,2252923,576748288,576.748288,178,59,180,4,20251104_151719
1762265763.1095536,2252962,576758272,576.758272,180,58,180,4,20251104_151719
1762265763.1195376,2253001,576768256,576.768256,182,58,181,4,20251104_151719
1762265763.1295216,2253040,576778240,576.77824,183,58,178,4,20251104_151719
1762265763.1395056,2253079,576788224,576.788224,185,57,180,4,20251104_151719
1762265763.1494896,2253118,576798208,576.798208,187,57,180,4,20251104_151719
1762265763.1594737,2253157,576808192,576.808192,189,56,180,4,20251104_151719
1762265763.1694577,2253196,576818176,576.818176,191,56,181,4,20251104_151719
1762265763.1794417,2253235,576828160,576.82816,192,56,179,4,20251104_151719
1762265763.1894257,2253274,576838144,576.838144,194,56,181,4,20251104_151719
1762265763.1994095,2253313,576848128,576.848128,196,55,180,4,20251104_151719
1762265763.2093935,2253352,576858112,576.858112,198,55,180,4,20251104_151719
1762265763.2193778,2253391,576868096,576.868096,199,55,180,4,20251104_151719
1762265763.2296176,2253431,576878336,576.878336,201,55,181,4,20251104_151719
1762265763.2396016,2253470,576888320,576.88832,203,54,180,4,20251104_151719
1762265763.2495856,2253509,576898304,576.898304,205,55,180,4,20251104_151719
1762265763.2595696,2253548,576908288,576.908288,207,55,180,4,20251104_151719
1762265763.2695537,2253587,576918272,576.918272,208,55,180,4,20251104_151719
1762265763.2795377,2253626,576928256,576.928256,210,54,179,4,20251104_151719
1762265763.2895217,2253665,576938240,576.93824,212,55,180,4,20251104_151719
1762265763.2995057,2253704,576948224,576.948224,214,55,179,4,20251104_151719
1762265763.3094895,2253743,576958208,576.958208,216,55,180,4,20251104_151719
1762265763.3194735,2253782,576968192,576.968192,217,56,180,4,20251104_151719
1762265763.3294578,2253821,576978176,576.978176,219,55,179,4,20251104_151719
1762265763.3394415,2253860,576988160,576.98816,221,56,179,4,20251104_151719
1762265763.3496816,2253900,576998400,576.9984,223,56,179,4,20251104_151719
1762265763.3596656,2253939,577008384,577.008384,224,56,180,4,20251104_151719
1762265763.3696496,2253978,577018368,577.018368,226,57,180,4,20251104_151719
1762265763.3796337,2254017,577028352,577.028352,228,58,180,4,20251104_151719
1762265763.3896177,2254056,577038336,577.038336,230,58,179,4,20251104_151719
1762265763.3996017,2254095,577048320,577.04832,232,58,180,4,20251104_151719
