time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1761736517.6202457,10496091,2686999296,2686.999296,107,104,180,4,20251029_121636
1761736517.6299736,10496129,2687009024,2687.009024,111,103,180,4,20251029_121636
1761736517.6399577,10496168,2687019008,2687.019008,114,103,179,4,20251029_121636
1761736517.6499417,10496207,2687028992,2687.028992,118,103,180,4,20251029_121636
1761736517.6601818,10496247,2687039232,2687.039232,122,102,180,4,20251029_121636
1761736517.6701658,10496286,2687049216,2687.049216,126,100,180,4,20251029_121636
1761736517.6801498,10496325,2687059200,2687.0592,130,98,180,4,20251029_121636
1761736517.6901338,10496364,2687069184,2687.069184,133,96,180,4,20251029_121636
1761736517.7001178,10496403,2687079168,2687.079168,137,95,180,4,20251029_121636
1761736517.7101018,10496442,2687089152,2687.089152,94,94,180,4,20251029_121636
1761736517.720086,10496481,2687099136,2687.099136,98,93,180,4,20251029_121636
1761736517.7300696,10496520,2687109120,2687.10912,102,92,180,4,20251029_121636
1761736517.7400537,10496559,2687119104,2687.119104,106,93,180,4,20251029_121636
1761736517.7500377,10496598,2687129088,2687.129088,109,95,180,4,20251029_121636
1761736517.7600217,10496637,2687139072,2687.139072,113,98,180,4,20251029_121636
1761736517.7700057,10496676,2687149056,2687.149056,117,101,180,4,20251029_121636
1761736517.7799895,10496715,2687159040,2687.15904,121,102,180,4,20251029_121636
1761736517.7899735,10496754,2687169024,2687.169024,125,102,180,4,20251029_121636
1761736517.7999578,10496793,2687179008,2687.179008,129,102,179,4,20251029_121636
1761736517.8101978,10496833,2687189248,2687.189248,132,98,179,4,20251029_121636
1761736517.8201818,10496872,2687199232,2687.199232,136,95,178,4,20251029_121636
1761736517.830166,10496911,2687209216,2687.209216,140,93,178,4,20251029_121636
1761736517.8401496,10496950,2687219200,2687.2192,144,91,177,4,20251029_121636
1761736517.8501337,10496989,2687229184,2687.229184,148,90,178,4,20251029_121636
1761736517.8601177,10497028,2687239168,2687.239168,151,90,177,4,20251029_121636
1761736517.8701017,10497067,2687249152,2687.249152,155,90,178,4,20251029_121636
1761736517.8800857,10497106,2687259136,2687.259136,159,91,179,4,20251029_121636
1761736517.8900695,10497145,2687269120,2687.26912,163,91,178,4,20251029_121636
1761736517.9000535,10497184,2687279104,2687.279104,167,91,179,4,20251029_121636
1761736517.9100378,10497223,2687289088,2687.289088,171,93,178,4,20251029_121636
1761736517.9200218,10497262,2687299072,2687.299072,174,96,180,4,20251029_121636
1761736517.9300058,10497301,2687309056,2687.309056,178,98,178,4,20251029_121636
1761736517.9399898,10497340,2687319040,2687.31904,182,102,180,4,20251029_121636
1761736517.9502296,10497380,2687329280,2687.32928,186,107,180,4,20251029_121636
1761736517.9602137,10497419,2687339264,2687.339264,190,108,180,4,20251029_121636
1761736517.9701977,10497458,2687349248,2687.349248,194,108,180,4,20251029_121636
1761736517.9801817,10497497,2687359232,2687.359232,197,108,180,4,20251029_121636
1761736517.9901657,10497536,2687369216,2687.369216,201,112,180,4,20251029_121636
1761736518.0001495,10497575,2687379200,2687.3792,205,109,181,4,20251029_121636
1761736518.0101335,10497614,2687389184,2687.389184,209,107,180,4,20251029_121636
1761736518.0201178,10497653,2687399168,2687.399168,213,115,179,4,20251029_121636
1761736518.0301018,10497692,2687409152,2687.409152,216,126,179,4,20251029_121636
