time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1760022969.3976696,13258058,3394062848,3394.062848,194,197,173,6,20251010_001727
1760022969.4076536,13258097,3394072832,3394.072832,198,198,172,6,20251010_001727
1760022969.417637,13258136,3394082816,3394.082816,203,197,173,6,20251010_001727
1760022969.4276214,13258175,3394092800,3394.0928,207,197,173,6,20251010_001727
1760022969.4376054,13258214,3394102784,3394.102784,211,197,173,6,20251010_001727
1760022969.4475894,13258253,3394112768,3394.112768,216,197,172,6,20251010_001727
1760022969.4575734,13258292,3394122752,3394.122752,220,197,172,6,20251010_001727
1760022969.4675574,13258331,3394132736,3394.132736,224,195,169,6,20251010_001727
1760022969.4775414,13258370,3394142720,3394.14272,229,195,167,6,20251010_001727
1760022969.4877815,13258410,3394152960,3394.15296,233,195,167,6,20251010_001727
1760022969.4977655,13258449,3394162944,3394.162944,237,195,170,6,20251010_001727
1760022969.5077496,13258488,3394172928,3394.172928,242,195,172,6,20251010_001727
1760022969.5177336,13258527,3394182912,3394.182912,246,195,173,6,20251010_001727
1760022969.5277174,13258566,3394192896,3394.192896,250,196,173,6,20251010_001727
1760022969.5377014,13258605,3394202880,3394.20288,0,197,174,6,20251010_001727
1760022969.5476854,13258644,3394212864,3394.212864,4,197,173,6,20251010_001727
1760022969.5576694,13258683,3394222848,3394.222848,8,198,173,6,20251010_001727
1760022969.5676534,13258722,3394232832,3394.232832,13,198,174,6,20251010_001727
1760022969.5776374,13258761,3394242816,3394.242816,17,198,173,6,20251010_001727
1760022969.5876217,13258800,3394252800,3394.2528,21,198,172,6,20251010_001727
1760022969.5976057,13258839,3394262784,3394.262784,26,198,170,6,20251010_001727
1760022969.6075895,13258878,3394272768,3394.272768,30,198,168,6,20251010_001727
1760022969.6175735,13258917,3394282752,3394.282752,34,198,163,6,20251010_001727
1760022969.6275575,13258956,3394292736,3394.292736,39,198,157,6,20251010_001727
1760022969.6377974,13258996,3394302976,3394.302976,43,198,149,6,20251010_001727
1760022969.6477814,13259035,3394312960,3394.31296,47,198,144,6,20251010_001727
1760022969.6577654,13259074,3394322944,3394.322944,52,197,142,6,20251010_001727
1760022969.6677494,13259113,3394332928,3394.332928,56,197,138,6,20251010_001727
1760022969.6777334,13259152,3394342912,3394.342912,60,197,136,6,20251010_001727
1760022969.6877174,13259191,3394352896,3394.352896,65,196,135,6,20251010_001727
1760022969.6977017,13259230,3394362880,3394.36288,69,196,135,6,20251010_001727
1760022969.7076857,13259269,3394372864,3394.372864,73,196,136,6,20251010_001727
1760022969.7176695,13259308,3394382848,3394.382848,78,196,136,6,20251010_001727
1760022969.7276535,13259347,3394392832,3394.392832,82,197,136,6,20251010_001727
1760022969.7376375,13259386,3394402816,3394.402816,86,195,138,6,20251010_001727
1760022969.7476215,13259425,3394412800,3394.4128,91,193,139,6,20251010_001727
1760022969.7576056,13259464,3394422784,3394.422784,95,184,140,6,20251010_001727
1760022969.7675896,13259503,3394432768,3394.432768,99,185,142,6,20251010_001727
1760022969.7778294,13259543,3394443008,3394.443008,104,188,144,6,20251010_001727
1760022969.7878134,13259582,3394452992,3394.452992,108,189,147,6,20251010_001727
1760022969.7977974,13259621,3394462976,3394.462976,246,191,151,6,20251010_001727
1760022969.8077817,13259660,3394472960,3394.47296,250,189,155,6,20251010_001727
1760022969.8177657,13259699,3394482944,3394.482944,254,182,162,6,20251010_001727
1760022969.8277495,13259738,3394492928,3394.492928,4,176,166,6,20251010_001727
1760022969.8377335,13259777,3394502912,3394.502912,8,176,170,6,20251010_001727
1760022969.8477175,13259816,3394512896,3394.512896,12,177,172,6,20251010_001727
1760022969.8577015,13259855,3394522880,3394.52288,17,183,173,6,20251010_001727
1760022969.8676856,13259894,3394532864,3394.532864,21,186,172,6,20251010_001727
1760022969.8776696,13259933,3394542848,3394.542848,25,187,173,6,20251010_001727
1760022969.8876534,13259972,3394552832,3394.552832,30,188,173,6,20251010_001727
1760022969.8976374,13260011,3394562816,3394.562816,34,188,171,6,20251010_001727
1760022969.9076214,13260050,3394572800,3394.5728,38,186,173,6,20251010_001727
1760022969.9176054,13260089,3394582784,3394.582784,43,183,172,6,20251010_001727
1760022969.9278457,13260129,3394593024,3394.593024,47,190,172,6,20251010_001727
1760022969.9378295,13260168,3394603008,3394.603008,51,196,173,6,20251010_001727
1760022969.9478135,13260207,3394612992,3394.612992,56,197,172,6,20251010_001727
1760022969.9577975,13260246,3394622976,3394.622976,60,196,174,6,20251010_001727
1760022969.9677815,13260285,3394632960,3394.63296,64,195,172,6,20251010_001727
1760022969.9777656,13260324,3394642944,3394.642944,69,195,171,6,20251010_001727
1760022969.9877496,13260363,3394652928,3394.652928,73,195,165,6,20251010_001727
1760022969.9977334,13260402,3394662912,3394.662912,77,196,153,6,20251010_001727
1760022970.0077174,13260441,3394672896,3394.672896,82,196,141,6,20251010_001727
1760022970.0177014,13260480,3394682880,3394.68288,86,196,131,6,20251010_001727
1760022970.0276854,13260519,3394692864,3394.692864,90,194,132,6,20251010_001727
1760022970.0376694,13260558,3394702848,3394.702848,95,186,133,6,20251010_001727
1760022970.0476534,13260597,3394712832,3394.712832,99,185,136,6,20251010_001727
1760022970.0576377,13260636,3394722816,3394.722816,103,188,138,6,20251010_001727
1760022970.0678775,13260676,3394733056,3394.733056,108,190,144,6,20251010_001727
1760022970.0778615,13260715,3394743040,3394.74304,112,191,151,6,20251010_001727
1760022970.0878456,13260754,3394753024,3394.753024,116,190,161,6,20251010_001727
1760022970.0978296,13260793,3394763008,3394.763008,121,183,165,6,20251010_001727
1760022970.1078134,13260832,3394772992,3394.772992,125,177,168,6,20251010_001727
1760022970.1177974,13260871,3394782976,3394.782976,129,175,171,6,20251010_001727
1760022970.1277814,13260910,3394792960,3394.79296,134,175,172,6,20251010_001727
1760022970.1377654,13260949,3394802944,3394.802944,138,176,173,6,20251010_001727
1760022970.1477494,13260988,3394812928,3394.812928,142,176,173,6,20251010_001727
1760022970.1577334,13261027,3394822912,3394.822912,147,174,173,6,20251010_001727
1760022970.1677177,13261066,3394832896,3394.832896,151,174,173,6,20251010_001727
1760022970.1777017,13261105,3394842880,3394.84288,155,175,173,6,20251010_001727
1760022970.1876855,13261144,3394852864,3394.852864,160,175,172,6,20251010_001727
1760022970.1976695,13261183,3394862848,3394.862848,164,173,173,6,20251010_001727
1760022970.2076535,13261222,3394872832,3394.872832,168,173,173,6,20251010_001727
1760022970.2178934,13261262,3394883072,3394.883072,173,173,174,6,20251010_001727
1760022970.2278774,13261301,3394893056,3394.893056,177,173,173,6,20251010_001727
1760022970.2378614,13261340,3394903040,3394.90304,181,174,173,6,20251010_001727
1760022970.2478454,13261379,3394913024,3394.913024,186,175,172,6,20251010_001727
1760022970.2578294,13261418,3394923008,3394.923008,190,177,174,6,20251010_001727
1760022970.2678134,13261457,3394932992,3394.932992,195,179,173,6,20251010_001727
