time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1761842527.9523125,2528093,647191808,647.191808,67,78,167,4,20251030_174324
1761842527.9622965,2528132,647201792,647.201792,70,78,168,4,20251030_174324
1761842527.9722805,2528171,647211776,647.211776,73,77,167,4,20251030_174324
1761842527.9822645,2528210,647221760,647.22176,76,77,167,4,20251030_174324
1761842527.9922483,2528249,647231744,647.231744,78,76,167,4,20251030_174324
1761842528.0022326,2528288,647241728,647.241728,81,75,168,4,20251030_174324
1761842528.0122166,2528327,647251712,647.251712,84,73,167,4,20251030_174324
1761842528.0222006,2528366,647261696,647.261696,87,72,167,4,20251030_174324
1761842528.0321846,2528405,647271680,647.27168,90,71,168,4,20251030_174324
1761842528.0421684,2528444,647281664,647.281664,92,69,169,4,20251030_174324
1761842528.0521524,2528483,647291648,647.291648,95,68,168,4,20251030_174324
1761842528.0621364,2528522,647301632,647.301632,98,66,167,4,20251030_174324
1761842528.0721204,2528561,647311616,647.311616,101,65,165,4,20251030_174324
1761842528.0823605,2528601,647321856,647.321856,104,64,162,4,20251030_174324
1761842528.0923443,2528640,647331840,647.33184,106,64,154,4,20251030_174324
1761842528.1023283,2528679,647341824,647.341824,109,63,135,4,20251030_174324
1761842528.1123126,2528718,647351808,647.351808,112,63,127,4,20251030_174324
1761842528.1222966,2528757,647361792,647.361792,115,62,122,4,20251030_174324
1761842528.1322806,2528796,647371776,647.371776,118,61,123,4,20251030_174324
1761842528.1422644,2528835,647381760,647.38176,120,61,124,4,20251030_174324
1761842528.1522484,2528874,647391744,647.391744,123,61,125,4,20251030_174324
1761842528.1622324,2528913,647401728,647.401728,126,60,125,4,20251030_174324
1761842528.1722164,2528952,647411712,647.411712,129,61,124,4,20251030_174324
1761842528.1822004,2528991,647421696,647.421696,132,62,127,4,20251030_174324
1761842528.1921844,2529030,647431680,647.43168,134,63,134,4,20251030_174324
1761842528.2021685,2529069,647441664,647.441664,137,64,136,4,20251030_174324
1761842528.2121525,2529108,647451648,647.451648,140,65,139,4,20251030_174324
1761842528.2223926,2529148,647461888,647.461888,143,67,142,4,20251030_174324
1761842528.2323766,2529187,647471872,647.471872,146,68,147,4,20251030_174324
1761842528.2423606,2529226,647481856,647.481856,148,69,150,4,20251030_174324
1761842528.2523444,2529265,647491840,647.49184,151,70,153,4,20251030_174324
1761842528.2623284,2529304,647501824,647.501824,154,71,155,4,20251030_174324
1761842528.2723124,2529343,647511808,647.511808,157,73,157,4,20251030_174324
1761842528.2822964,2529382,647521792,647.521792,160,73,157,4,20251030_174324
1761842528.2922804,2529421,647531776,647.531776,163,73,158,4,20251030_174324
1761842528.3022645,2529460,647541760,647.54176,165,72,156,4,20251030_174324
1761842528.3122485,2529499,647551744,647.551744,168,73,157,4,20251030_174324
1761842528.3222325,2529538,647561728,647.561728,171,73,156,4,20251030_174324
1761842528.3322165,2529577,647571712,647.571712,174,72,158,4,20251030_174324
1761842528.3422005,2529616,647581696,647.581696,177,72,158,4,20251030_174324
1761842528.3521843,2529655,647591680,647.59168,179,71,158,4,20251030_174324
1761842528.3621686,2529694,647601664,647.601664,182,71,160,4,20251030_174324
1761842528.3724084,2529734,647611904,647.611904,185,70,158,4,20251030_174324
1761842528.3823924,2529773,647621888,647.621888,188,70,159,4,20251030_174324
1761842528.3923764,2529812,647631872,647.631872,191,69,158,4,20251030_174324
1761842528.4023604,2529851,647641856,647.641856,193,69,160,4,20251030_174324
1761842528.4123445,2529890,647651840,647.65184,196,69,159,4,20251030_174324
1761842528.4223285,2529929,647661824,647.661824,199,69,159,4,20251030_174324
1761842528.4323125,2529968,647671808,647.671808,202,69,159,4,20251030_174324
1761842528.4422965,2530007,647681792,647.681792,205,70,160,4,20251030_174324
1761842528.4522803,2530046,647691776,647.691776,207,70,160,4,20251030_174324
1761842528.4622643,2530085,647701760,647.70176,210,69,158,4,20251030_174324
1761842528.4722486,2530124,647711744,647.711744,213,70,159,4,20251030_174324
1761842528.4822326,2530163,647721728,647.721728,216,72,159,4,20251030_174324
1761842528.4922166,2530202,647731712,647.731712,219,74,160,4,20251030_174324
1761842528.5022004,2530241,647741696,647.741696,221,77,160,4,20251030_174324
1761842528.5121844,2530280,647751680,647.75168,224,78,160,4,20251030_174324
1761842528.5224245,2530320,647761920,647.76192,227,79,158,4,20251030_174324
