time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1761844474.925758,10133427,2594157312,2594.157312,68,174,163,4,20251030_181552
1761844474.934718,10133462,2594166272,2594.166272,70,174,164,4,20251030_181552
1761844474.944702,10133501,2594176256,2594.176256,73,174,164,4,20251030_181552
1761844474.9546862,10133540,2594186240,2594.18624,76,173,164,4,20251030_181552
1761844474.9646702,10133579,2594196224,2594.196224,78,174,164,4,20251030_181552
1761844474.9746542,10133618,2594206208,2594.206208,81,175,165,4,20251030_181552
1761844474.9846382,10133657,2594216192,2594.216192,84,174,164,4,20251030_181552
1761844474.9948783,10133697,2594226432,2594.226432,87,175,164,4,20251030_181552
1761844475.0048623,10133736,2594236416,2594.236416,234,177,165,4,20251030_181552
1761844475.0148463,10133775,2594246400,2594.2464,236,180,164,4,20251030_181552
1761844475.02483,10133814,2594256384,2594.256384,239,181,164,4,20251030_181552
1761844475.034814,10133853,2594266368,2594.266368,242,182,163,4,20251030_181552
1761844475.044798,10133892,2594276352,2594.276352,245,183,161,4,20251030_181552
1761844475.0547822,10133931,2594286336,2594.286336,248,184,161,4,20251030_181552
1761844475.0647662,10133970,2594296320,2594.29632,250,184,162,4,20251030_181552
1761844475.0747502,10134009,2594306304,2594.306304,253,186,163,4,20251030_181552
1761844475.0847342,10134048,2594316288,2594.316288,1,183,163,4,20251030_181552
1761844475.0947182,10134087,2594326272,2594.326272,4,194,164,4,20251030_181552
1761844475.1047022,10134126,2594336256,2594.336256,7,197,164,4,20251030_181552
1761844475.1146865,10134165,2594346240,2594.34624,9,197,165,4,20251030_181552
1761844475.1246705,10134204,2594356224,2594.356224,12,197,164,4,20251030_181552
1761844475.1346543,10134243,2594366208,2594.366208,15,198,164,4,20251030_181552
1761844475.144894,10134283,2594376448,2594.376448,18,198,165,4,20251030_181552
1761844475.154878,10134322,2594386432,2594.386432,21,198,165,4,20251030_181552
1761844475.1648622,10134361,2594396416,2594.396416,23,197,163,4,20251030_181552
1761844475.1748462,10134400,2594406400,2594.4064,26,197,163,4,20251030_181552
1761844475.1848302,10134439,2594416384,2594.416384,29,198,163,4,20251030_181552
1761844475.1948142,10134478,2594426368,2594.426368,32,198,160,4,20251030_181552
1761844475.2047982,10134517,2594436352,2594.436352,35,198,159,4,20251030_181552
1761844475.2147822,10134556,2594446336,2594.446336,37,198,153,4,20251030_181552
1761844475.2247665,10134595,2594456320,2594.45632,40,198,144,4,20251030_181552
1761844475.2347505,10134634,2594466304,2594.466304,43,198,132,4,20251030_181552
1761844475.2447343,10134673,2594476288,2594.476288,46,198,126,4,20251030_181552
1761844475.2547183,10134712,2594486272,2594.486272,49,199,121,4,20251030_181552
1761844475.2647023,10134751,2594496256,2594.496256,51,197,118,4,20251030_181552
1761844475.274686,10134790,2594506240,2594.50624,54,198,118,4,20251030_181552
1761844475.2849262,10134830,2594516480,2594.51648,57,198,118,4,20251030_181552
1761844475.2949102,10134869,2594526464,2594.526464,60,198,119,4,20251030_181552
1761844475.3048942,10134908,2594536448,2594.536448,63,197,121,4,20251030_181552
1761844475.3148782,10134947,2594546432,2594.546432,65,197,122,4,20251030_181552
1761844475.3248622,10134986,2594556416,2594.556416,68,197,123,4,20251030_181552
1761844475.3348465,10135025,2594566400,2594.5664,71,197,127,4,20251030_181552
1761844475.3448305,10135064,2594576384,2594.576384,74,197,127,4,20251030_181552
1761844475.3548143,10135103,2594586368,2594.586368,77,197,132,4,20251030_181552
1761844475.3647983,10135142,2594596352,2594.596352,80,197,134,4,20251030_181552
1761844475.3747823,10135181,2594606336,2594.606336,82,197,137,4,20251030_181552
1761844475.384766,10135220,2594616320,2594.61632,85,190,139,4,20251030_181552
1761844475.39475,10135259,2594626304,2594.626304,88,186,140,4,20251030_181552
1761844475.404734,10135298,2594636288,2594.636288,91,186,142,4,20251030_181552
1761844475.4147182,10135337,2594646272,2594.646272,94,185,146,4,20251030_181552
1761844475.4247022,10135376,2594656256,2594.656256,96,181,148,4,20251030_181552
1761844475.4349422,10135416,2594666496,2594.666496,99,181,150,4,20251030_181552
1761844475.4449265,10135455,2594676480,2594.67648,102,180,153,4,20251030_181552
1761844475.4549105,10135494,2594686464,2594.686464,105,178,153,4,20251030_181552
1761844475.4648943,10135533,2594696448,2594.696448,108,177,153,4,20251030_181552
1761844475.4748783,10135572,2594706432,2594.706432,110,176,155,4,20251030_181552
1761844475.484862,10135611,2594716416,2594.716416,113,175,155,4,20251030_181552
1761844475.494846,10135650,2594726400,2594.7264,116,174,156,4,20251030_181552
1761844475.50483,10135689,2594736384,2594.736384,119,173,155,4,20251030_181552
1761844475.514814,10135728,2594746368,2594.746368,122,172,156,4,20251030_181552
1761844475.5247982,10135767,2594756352,2594.756352,124,170,155,4,20251030_181552
