t,As,Ws,A,W,V,T
0.0,0.0,0.0,0.057,0.3,5.07,23.9
0.1,0.0083,0.03,0.081,0.3,5.276,23.9
0.2,0.0255,0.109,0.171,0.8,4.758,23.9
0.3,0.0399,0.175,0.144,0.65,4.92,23.9
0.4,0.0496,0.223,0.096,0.5,4.924,23.9
0.5,0.0586,0.259,0.09,0.35,5.244,23.9
0.6,0.0773,0.35,0.186,0.9,4.568,23.9
0.7,0.0906,0.416,0.132,0.65,4.818,23.9
0.8,0.096,0.447,0.054,0.3,5.14,23.9
0.9,0.1057,0.489,0.096,0.4,5.278,23.9
1.1,0.1363,0.634,0.171,0.8,4.878,23.9
1.2,0.1446,0.676,0.081,0.4,4.972,23.9
1.3,0.155,0.718,0.102,0.4,5.242,23.9
1.4,0.173,0.803,0.177,0.85,4.876,23.9
1.5,0.1845,0.863,0.114,0.6,5.072,23.9
1.6,0.1881,0.881,0.036,0.2,5.192,23.9
1.7,0.2014,0.935,0.132,0.55,5.276,23.9
1.8,0.2172,1.014,0.156,0.8,5.244,23.9
1.9,0.2301,1.074,0.129,0.6,5.128,23.9
2.0,0.2359,1.104,0.057,0.3,5.116,23.9
2.1,0.2492,1.159,0.132,0.55,5.194,23.9
2.2,0.2654,1.231,0.159,0.7,4.972,23.9
2.3,0.2758,1.285,0.102,0.55,5.086,23.9
2.4,0.279,1.303,0.033,0.2,5.136,23.9
2.5,0.2938,1.37,0.147,0.65,5.058,23.9
2.6,0.3089,1.442,0.15,0.7,4.87,23.9
2.7,0.3208,1.496,0.117,0.55,4.916,23.9
2.9,0.3416,1.593,0.054,0.3,4.956,23.9
3.0,0.3564,1.665,0.147,0.7,4.756,23.9
3.1,0.3679,1.726,0.114,0.6,4.93,23.9
3.2,0.3708,1.738,0.03,0.1,5.148,23.9
3.3,0.3848,1.804,0.138,0.65,5.096,23.9
3.4,0.4006,1.877,0.156,0.7,4.988,23.9
3.5,0.4135,1.943,0.129,0.65,4.966,23.9
3.6,0.4197,1.973,0.06,0.3,5.128,23.9
3.7,0.4362,2.046,0.165,0.7,5.248,23.9
3.8,0.4517,2.118,0.153,0.7,5.07,23.9
3.9,0.4621,2.166,0.102,0.5,5.028,23.9
4.0,0.4653,2.178,0.033,0.1,5.252,23.9
