time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1743967410.1543062,10933,11195392,11.195392,52,203,145,1,20250407_042339
1743967410.1645465,10943,11205632,11.205632,55,203,146,1,20250407_042339
1743967410.1737623,10952,11214848,11.214848,59,203,145,1,20250407_042339
1743967410.1840022,10962,11225088,11.225088,63,203,146,1,20250407_042339
1743967410.1942422,10972,11235328,11.235328,67,202,146,1,20250407_042339
1743967410.2044823,10982,11245568,11.245568,71,203,144,1,20250407_042339
1743967410.2136984,10991,11254784,11.254784,75,203,144,1,20250407_042339
1743967410.2239382,11001,11265024,11.265024,78,202,145,1,20250407_042339
1743967410.2341783,11011,11275264,11.275264,82,201,146,1,20250407_042339
1743967410.2444184,11021,11285504,11.285504,86,202,145,1,20250407_042339
1743967410.2546582,11031,11295744,11.295744,90,202,145,1,20250407_042339
1743967410.2638743,11040,11304960,11.30496,94,201,145,1,20250407_042339
1743967410.2741144,11050,11315200,11.3152,98,202,144,1,20250407_042339
1743967410.2843542,11060,11325440,11.32544,101,201,146,1,20250407_042339
1743967410.2945943,11070,11335680,11.33568,105,200,146,1,20250407_042339
1743967410.3038104,11079,11344896,11.344896,109,200,146,1,20250407_042339
1743967410.3140502,11089,11355136,11.355136,113,197,146,1,20250407_042339
1743967410.3242905,11099,11365376,11.365376,117,167,146,1,20250407_042339
1743967410.3345304,11109,11375616,11.375616,121,159,147,1,20250407_042339
1743967410.3447702,11119,11385856,11.385856,124,201,147,1,20250407_042339
1743967410.3539865,11128,11395072,11.395072,128,201,146,1,20250407_042339
1743967410.3642263,11138,11405312,11.405312,132,202,147,1,20250407_042339
1743967410.3744662,11148,11415552,11.415552,136,202,148,1,20250407_042339
1743967410.3847065,11158,11425792,11.425792,140,202,150,1,20250407_042339
1743967410.3939223,11167,11435008,11.435008,144,202,153,1,20250407_042339
1743967410.4041622,11177,11445248,11.445248,147,202,159,1,20250407_042339
1743967410.4144022,11187,11455488,11.455488,151,202,168,1,20250407_042339
1743967410.4246423,11197,11465728,11.465728,155,202,175,1,20250407_042339
1743967410.4348822,11207,11475968,11.475968,159,201,177,1,20250407_042339
1743967410.4440982,11216,11485184,11.485184,163,201,180,1,20250407_042339
1743967410.4543383,11226,11495424,11.495424,167,202,183,1,20250407_042339
1743967410.4645784,11236,11505664,11.505664,170,201,183,1,20250407_042339
1743967410.4748182,11246,11515904,11.515904,174,202,184,1,20250407_042339
1743967410.4840343,11255,11525120,11.52512,178,202,184,1,20250407_042339
1743967410.4942744,11265,11535360,11.53536,182,202,185,1,20250407_042339
1743967410.5045142,11275,11545600,11.5456,186,202,185,1,20250407_042339
1743967410.5147543,11285,11555840,11.55584,189,202,185,1,20250407_042339
1743967410.5239704,11294,11565056,11.565056,193,202,186,1,20250407_042339
1743967410.5342102,11304,11575296,11.575296,197,202,186,1,20250407_042339
1743967410.5444503,11314,11585536,11.585536,201,201,186,1,20250407_042339
1743967410.5546904,11324,11595776,11.595776,205,200,186,1,20250407_042339
1743967410.5649302,11334,11606016,11.606016,209,200,186,1,20250407_042339
1743967410.5741465,11343,11615232,11.615232,212,190,185,1,20250407_042339
1743967410.5843863,11353,11625472,11.625472,216,166,186,1,20250407_042339
1743967410.5946262,11363,11635712,11.635712,220,191,185,1,20250407_042339
1743967410.6048665,11373,11645952,11.645952,224,199,186,1,20250407_042339
1743967410.6140823,11382,11655168,11.655168,228,192,185,1,20250407_042339
1743967410.6243222,11392,11665408,11.665408,232,197,185,1,20250407_042339
1743967410.6345625,11402,11675648,11.675648,235,200,186,1,20250407_042339
1743967410.6448023,11412,11685888,11.685888,239,200,185,1,20250407_042339
1743967410.6550422,11422,11696128,11.696128,243,200,184,1,20250407_042339
1743967410.6642582,11431,11705344,11.705344,247,200,179,1,20250407_042339
1743967410.6744983,11441,11715584,11.715584,251,201,169,1,20250407_042339
1743967410.6847384,11451,11725824,11.725824,0,201,160,1,20250407_042339
1743967410.6949782,11461,11736064,11.736064,3,202,154,1,20250407_042339
1743967410.7041943,11470,11745280,11.74528,7,202,148,1,20250407_042339
1743967410.7144344,11480,11755520,11.75552,11,201,143,1,20250407_042339
1743967410.7246742,11490,11765760,11.76576,15,202,142,1,20250407_042339
1743967410.7349143,11500,11776000,11.776,19,202,144,1,20250407_042339
1743967410.7441304,11509,11785216,11.785216,23,202,142,1,20250407_042339
