time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1743820133.8860984,34313,35136512,35.136512,193,156,187,2,20250405_114009
1743820133.8963385,34323,35146752,35.146752,197,156,187,2,20250405_114009
1743820133.9065783,34333,35156992,35.156992,201,155,187,2,20250405_114009
1743820133.9157944,34342,35166208,35.166208,205,155,187,2,20250405_114009
1743820133.9260345,34352,35176448,35.176448,209,156,187,2,20250405_114009
1743820133.9362743,34362,35186688,35.186688,212,157,187,2,20250405_114009
1743820133.9465144,34372,35196928,35.196928,216,159,187,2,20250405_114009
1743820133.9557304,34381,35206144,35.206144,220,160,187,2,20250405_114009
1743820133.9659705,34391,35216384,35.216384,224,162,187,2,20250405_114009
1743820133.9762104,34401,35226624,35.226624,228,165,187,2,20250405_114009
1743820133.9864504,34411,35236864,35.236864,232,167,187,2,20250405_114009
1743820133.9956665,34420,35246080,35.24608,235,170,187,2,20250405_114009
1743820134.0059063,34430,35256320,35.25632,239,172,187,2,20250405_114009
1743820134.0161464,34440,35266560,35.26656,243,173,187,2,20250405_114009
1743820134.0263865,34450,35276800,35.2768,247,175,187,2,20250405_114009
1743820134.0366263,34460,35287040,35.28704,251,175,187,2,20250405_114009
1743820134.0458424,34469,35296256,35.296256,0,164,187,2,20250405_114009
1743820134.0560822,34479,35306496,35.306496,3,156,187,2,20250405_114009
1743820134.0663223,34489,35316736,35.316736,7,167,187,2,20250405_114009
1743820134.0765624,34499,35326976,35.326976,11,174,187,2,20250405_114009
1743820134.0857782,34508,35336192,35.336192,15,175,180,2,20250405_114009
1743820134.0960183,34518,35346432,35.346432,19,174,164,2,20250405_114009
1743820134.1062584,34528,35356672,35.356672,22,173,151,2,20250405_114009
1743820134.1164982,34538,35366912,35.366912,26,172,146,2,20250405_114009
1743820134.1267383,34548,35377152,35.377152,30,172,148,2,20250405_114009
1743820134.1359544,34557,35386368,35.386368,34,170,147,2,20250405_114009
1743820134.1461945,34567,35396608,35.396608,38,169,147,2,20250405_114009
1743820134.1564343,34577,35406848,35.406848,42,168,144,2,20250405_114009
1743820134.1666744,34587,35417088,35.417088,45,166,148,2,20250405_114009
1743820134.1758904,34596,35426304,35.426304,49,164,147,2,20250405_114009
1743820134.1861303,34606,35436544,35.436544,53,163,149,2,20250405_114009
1743820134.1963704,34616,35446784,35.446784,57,163,148,2,20250405_114009
1743820134.2066104,34626,35457024,35.457024,61,162,149,2,20250405_114009
1743820134.2168505,34636,35467264,35.467264,65,161,147,2,20250405_114009
