time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1751283658.3428552,9328461,2388086016,2388.086016,191,27,172,6,20250630_204107
1751283658.3515592,9328495,2388094720,2388.09472,196,22,172,6,20250630_204107
1751283658.3615432,9328534,2388104704,2388.104704,201,23,172,6,20250630_204107
1751283658.3715272,9328573,2388114688,2388.114688,206,22,172,6,20250630_204107
1751283658.3815112,9328612,2388124672,2388.124672,211,23,172,6,20250630_204107
1751283658.3914952,9328651,2388134656,2388.134656,216,23,172,6,20250630_204107
1751283658.4014792,9328690,2388144640,2388.14464,221,23,171,6,20250630_204107
1751283658.4114633,9328729,2388154624,2388.154624,226,23,172,6,20250630_204107
1751283658.4214473,9328768,2388164608,2388.164608,231,23,172,6,20250630_204107
1751283658.4314313,9328807,2388174592,2388.174592,236,23,172,6,20250630_204107
1751283658.4414153,9328846,2388184576,2388.184576,241,23,172,6,20250630_204107
1751283658.4516554,9328886,2388194816,2388.194816,247,23,172,6,20250630_204107
1751283658.4616392,9328925,2388204800,2388.2048,252,23,172,6,20250630_204107
1751283658.4716232,9328964,2388214784,2388.214784,2,23,172,6,20250630_204107
1751283658.4816072,9329003,2388224768,2388.224768,7,24,171,6,20250630_204107
1751283658.4915912,9329042,2388234752,2388.234752,12,23,172,6,20250630_204107
1751283658.5015752,9329081,2388244736,2388.244736,17,25,172,6,20250630_204107
1751283658.5115592,9329120,2388254720,2388.25472,22,24,172,6,20250630_204107
1751283658.5215433,9329159,2388264704,2388.264704,27,25,172,6,20250630_204107
1751283658.5315273,9329198,2388274688,2388.274688,32,24,172,6,20250630_204107
1751283658.5417674,9329238,2388284928,2388.284928,37,25,172,6,20250630_204107
1751283658.5517514,9329277,2388294912,2388.294912,43,24,172,6,20250630_204107
1751283658.5617354,9329316,2388304896,2388.304896,48,25,172,6,20250630_204107
1751283658.5717192,9329355,2388314880,2388.31488,53,24,170,6,20250630_204107
1751283658.5817032,9329394,2388324864,2388.324864,58,25,170,6,20250630_204107
1751283658.5916872,9329433,2388334848,2388.334848,170,24,169,6,20250630_204107
1751283658.6016712,9329472,2388344832,2388.344832,175,25,167,6,20250630_204107
1751283658.6119113,9329512,2388355072,2388.355072,180,24,166,6,20250630_204107
1751283658.6218953,9329551,2388365056,2388.365056,185,26,166,6,20250630_204107
1751283658.6318793,9329590,2388375040,2388.37504,191,25,166,6,20250630_204107
1751283658.6418633,9329629,2388385024,2388.385024,196,26,166,6,20250630_204107
1751283658.6518474,9329668,2388395008,2388.395008,201,25,166,6,20250630_204107
1751283658.6618314,9329707,2388404992,2388.404992,206,26,168,6,20250630_204107
1751283658.6718152,9329746,2388414976,2388.414976,211,26,169,6,20250630_204107
1751283658.6817992,9329785,2388424960,2388.42496,216,26,171,6,20250630_204107
1751283658.6917832,9329824,2388434944,2388.434944,221,26,171,6,20250630_204107
1751283658.7017672,9329863,2388444928,2388.444928,226,27,171,6,20250630_204107
1751283658.7117512,9329902,2388454912,2388.454912,231,27,171,6,20250630_204107
1751283658.7217352,9329941,2388464896,2388.464896,236,27,171,6,20250630_204107
1751283658.7319753,9329981,2388475136,2388.475136,242,26,171,6,20250630_204107
1751283658.7419593,9330020,2388485120,2388.48512,247,28,172,6,20250630_204107
1751283658.7519433,9330059,2388495104,2388.495104,252,26,172,6,20250630_204107
1751283658.7619274,9330098,2388505088,2388.505088,2,28,173,6,20250630_204107
1751283658.7719114,9330137,2388515072,2388.515072,7,27,172,6,20250630_204107
1751283658.7818952,9330176,2388525056,2388.525056,12,28,172,6,20250630_204107
1751283658.7918792,9330215,2388535040,2388.53504,17,26,171,6,20250630_204107
1751283658.8018632,9330254,2388545024,2388.545024,22,27,171,6,20250630_204107
1751283658.8118472,9330293,2388555008,2388.555008,27,26,171,6,20250630_204107
1751283658.8218312,9330332,2388564992,2388.564992,32,27,172,6,20250630_204107
1751283658.8318152,9330371,2388574976,2388.574976,38,26,172,6,20250630_204107
1751283658.8417993,9330410,2388584960,2388.58496,43,27,172,6,20250630_204107
1751283658.8517833,9330449,2388594944,2388.594944,48,27,172,6,20250630_204107
1751283658.8617673,9330488,2388604928,2388.604928,53,26,172,6,20250630_204107
1751283658.8720074,9330528,2388615168,2388.615168,58,26,172,6,20250630_204107
1751283658.8819914,9330567,2388625152,2388.625152,63,26,172,6,20250630_204107
1751283658.8919752,9330606,2388635136,2388.635136,68,26,172,6,20250630_204107
1751283658.9019592,9330645,2388645120,2388.64512,73,26,170,6,20250630_204107
1751283658.9119432,9330684,2388655104,2388.655104,78,26,170,6,20250630_204107
1751283658.9219272,9330723,2388665088,2388.665088,83,27,169,6,20250630_204107
1751283658.9319112,9330762,2388675072,2388.675072,89,26,169,6,20250630_204107
1751283658.9418952,9330801,2388685056,2388.685056,94,28,172,6,20250630_204107
1751283658.9518793,9330840,2388695040,2388.69504,99,27,170,6,20250630_204107
1751283658.9618633,9330879,2388705024,2388.705024,104,27,170,6,20250630_204107
1751283658.9718473,9330918,2388715008,2388.715008,109,26,171,6,20250630_204107
1751283658.9818313,9330957,2388724992,2388.724992,114,27,171,6,20250630_204107
1751283658.9918153,9330996,2388734976,2388.734976,119,26,170,6,20250630_204107
1751283659.0017993,9331035,2388744960,2388.74496,124,28,169,6,20250630_204107
1751283659.0117834,9331074,2388754944,2388.754944,129,27,172,6,20250630_204107
1751283659.0220232,9331114,2388765184,2388.765184,134,27,171,6,20250630_204107
1751283659.0320072,9331153,2388775168,2388.775168,140,26,172,6,20250630_204107
1751283659.0419912,9331192,2388785152,2388.785152,145,27,171,6,20250630_204107
1751283659.0519753,9331231,2388795136,2388.795136,150,26,171,6,20250630_204107
1751283659.0619593,9331270,2388805120,2388.80512,155,27,171,6,20250630_204107
1751283659.0719433,9331309,2388815104,2388.815104,160,26,173,6,20250630_204107
1751283659.0819273,9331348,2388825088,2388.825088,165,27,171,6,20250630_204107
1751283659.0919113,9331387,2388835072,2388.835072,170,26,172,6,20250630_204107
1751283659.1018953,9331426,2388845056,2388.845056,175,27,171,6,20250630_204107
1751283659.1118793,9331465,2388855040,2388.85504,180,26,172,6,20250630_204107
1751283659.1218634,9331504,2388865024,2388.865024,185,27,172,6,20250630_204107
1751283659.1318474,9331543,2388875008,2388.875008,191,26,173,6,20250630_204107
1751283659.1418312,9331582,2388884992,2388.884992,196,27,171,6,20250630_204107
1751283659.1518152,9331621,2388894976,2388.894976,201,26,172,6,20250630_204107
1751283659.1617992,9331660,2388904960,2388.90496,206,27,171,6,20250630_204107
1751283659.1720393,9331700,2388915200,2388.9152,211,26,172,6,20250630_204107
1751283659.1820233,9331739,2388925184,2388.925184,216,27,172,6,20250630_204107
1751283659.1920073,9331778,2388935168,2388.935168,221,26,172,6,20250630_204107
1751283659.2019913,9331817,2388945152,2388.945152,226,26,171,6,20250630_204107
1751283659.2119753,9331856,2388955136,2388.955136,231,25,172,6,20250630_204107
1751283659.2219594,9331895,2388965120,2388.96512,236,27,172,6,20250630_204107
1751283659.2319434,9331934,2388975104,2388.975104,241,25,171,6,20250630_204107
1751283659.2419274,9331973,2388985088,2388.985088,247,26,171,6,20250630_204107
1751283659.2519112,9332012,2388995072,2388.995072,252,25,172,6,20250630_204107
1751283659.2618952,9332051,2389005056,2389.005056,2,26,172,6,20250630_204107
1751283659.2718792,9332090,2389015040,2389.01504,7,25,172,6,20250630_204107
1751283659.2818632,9332129,2389025024,2389.025024,12,26,171,6,20250630_204107
1751283659.2918472,9332168,2389035008,2389.035008,17,25,172,6,20250630_204107
1751283659.3018312,9332207,2389044992,2389.044992,22,26,172,6,20250630_204107
1751283659.3120713,9332247,2389055232,2389.055232,27,25,172,6,20250630_204107
1751283659.3220553,9332286,2389065216,2389.065216,32,26,172,6,20250630_204107
1751283659.3320394,9332325,2389075200,2389.0752,37,26,171,6,20250630_204107
1751283659.3420234,9332364,2389085184,2389.085184,43,26,172,6,20250630_204107
1751283659.3520074,9332403,2389095168,2389.095168,48,25,171,6,20250630_204107
1751283659.3619912,9332442,2389105152,2389.105152,53,26,172,6,20250630_204107
1751283659.3719752,9332481,2389115136,2389.115136,58,25,171,6,20250630_204107
1751283659.3819592,9332520,2389125120,2389.12512,63,26,171,6,20250630_204107
1751283659.3919432,9332559,2389135104,2389.135104,68,24,171,6,20250630_204107
1751283659.4019272,9332598,2389145088,2389.145088,73,26,170,6,20250630_204107
1751283659.4119112,9332637,2389155072,2389.155072,78,25,171,6,20250630_204107
1751283659.4218953,9332676,2389165056,2389.165056,83,26,170,6,20250630_204107
1751283659.4318793,9332715,2389175040,2389.17504,88,24,171,6,20250630_204107
1751283659.4418633,9332754,2389185024,2389.185024,94,25,168,6,20250630_204107
1751283659.4521034,9332794,2389195264,2389.195264,99,25,170,6,20250630_204107
1751283659.4620874,9332833,2389205248,2389.205248,104,26,170,6,20250630_204107
1751283659.4720712,9332872,2389215232,2389.215232,109,25,170,6,20250630_204107
1751283659.4820552,9332911,2389225216,2389.225216,114,27,171,6,20250630_204107
1751283659.4920392,9332950,2389235200,2389.2352,119,25,171,6,20250630_204107
1751283659.5020232,9332989,2389245184,2389.245184,124,27,171,6,20250630_204107
1751283659.5120072,9333028,2389255168,2389.255168,129,26,171,6,20250630_204107
1751283659.5219913,9333067,2389265152,2389.265152,134,27,171,6,20250630_204107
1751283659.5319753,9333106,2389275136,2389.275136,139,26,170,6,20250630_204107
1751283659.5419593,9333145,2389285120,2389.28512,145,27,172,6,20250630_204107
1751283659.5519433,9333184,2389295104,2389.295104,150,26,171,6,20250630_204107
1751283659.5619273,9333223,2389305088,2389.305088,155,27,171,6,20250630_204107
1751283659.5719113,9333262,2389315072,2389.315072,160,26,172,6,20250630_204107
1751283659.5818954,9333301,2389325056,2389.325056,165,27,172,6,20250630_204107
1751283659.5918794,9333340,2389335040,2389.33504,170,26,171,6,20250630_204107
1751283659.6021192,9333380,2389345280,2389.34528,175,27,171,6,20250630_204107
1751283659.6121032,9333419,2389355264,2389.355264,180,26,171,6,20250630_204107
1751283659.6220872,9333458,2389365248,2389.365248,185,27,172,6,20250630_204107
1751283659.6320713,9333497,2389375232,2389.375232,190,26,171,6,20250630_204107
1751283659.6420553,9333536,2389385216,2389.385216,196,27,172,6,20250630_204107
1751283659.6520393,9333575,2389395200,2389.3952,201,26,172,6,20250630_204107
1751283659.6620233,9333614,2389405184,2389.405184,206,27,172,6,20250630_204107
1751283659.6720073,9333653,2389415168,2389.415168,211,26,171,6,20250630_204107
1751283659.6819913,9333692,2389425152,2389.425152,216,26,173,6,20250630_204107
1751283659.6919754,9333731,2389435136,2389.435136,221,26,172,6,20250630_204107
1751283659.7019594,9333770,2389445120,2389.44512,226,26,172,6,20250630_204107
1751283659.7119434,9333809,2389455104,2389.455104,231,25,171,6,20250630_204107
1751283659.7219272,9333848,2389465088,2389.465088,236,26,172,6,20250630_204107
1751283659.7319112,9333887,2389475072,2389.475072,241,25,172,6,20250630_204107
1751283659.7421513,9333927,2389485312,2389.485312,247,25,171,6,20250630_204107
1751283659.7521353,9333966,2389495296,2389.495296,252,24,171,6,20250630_204107
1751283659.7621193,9334005,2389505280,2389.50528,2,26,171,6,20250630_204107
1751283659.7721033,9334044,2389515264,2389.515264,7,25,172,6,20250630_204107
1751283659.7820873,9334083,2389525248,2389.525248,12,26,172,6,20250630_204107
1751283659.7920713,9334122,2389535232,2389.535232,17,25,171,6,20250630_204107
1751283659.8020554,9334161,2389545216,2389.545216,22,27,171,6,20250630_204107
1751283659.8120394,9334200,2389555200,2389.5552,27,26,169,6,20250630_204107
1751283659.8220234,9334239,2389565184,2389.565184,32,27,170,6,20250630_204107
1751283659.8320072,9334278,2389575168,2389.575168,37,27,169,6,20250630_204107
1751283659.8419912,9334317,2389585152,2389.585152,42,28,170,6,20250630_204107
1751283659.8519752,9334356,2389595136,2389.595136,48,27,170,6,20250630_204107
1751283659.8619592,9334395,2389605120,2389.60512,53,28,169,6,20250630_204107
1751283659.8719432,9334434,2389615104,2389.615104,58,27,170,6,20250630_204107
1751283659.8819273,9334473,2389625088,2389.625088,63,27,169,6,20250630_204107
1751283659.8921673,9334513,2389635328,2389.635328,68,26,170,6,20250630_204107
1751283659.9021513,9334552,2389645312,2389.645312,73,28,171,6,20250630_204107
1751283659.9121354,9334591,2389655296,2389.655296,78,26,171,6,20250630_204107
1751283659.9221194,9334630,2389665280,2389.66528,83,28,171,6,20250630_204107
1751283659.9321032,9334669,2389675264,2389.675264,88,27,170,6,20250630_204107
1751283659.9420872,9334708,2389685248,2389.685248,93,28,171,6,20250630_204107
1751283659.9520712,9334747,2389695232,2389.695232,99,27,171,6,20250630_204107
1751283659.9620552,9334786,2389705216,2389.705216,104,28,170,6,20250630_204107
1751283659.9720392,9334825,2389715200,2389.7152,109,27,170,6,20250630_204107
1751283659.9820232,9334864,2389725184,2389.725184,114,29,171,6,20250630_204107
1751283659.9920073,9334903,2389735168,2389.735168,119,27,170,6,20250630_204107
1751283660.0019913,9334942,2389745152,2389.745152,124,29,171,6,20250630_204107
1751283660.0119753,9334981,2389755136,2389.755136,129,27,171,6,20250630_204107
1751283660.0219593,9335020,2389765120,2389.76512,134,29,171,6,20250630_204107
1751283660.0319433,9335059,2389775104,2389.775104,139,27,170,6,20250630_204107
1751283660.0421832,9335099,2389785344,2389.785344,144,29,171,6,20250630_204107
1751283660.0521672,9335138,2389795328,2389.795328,150,28,171,6,20250630_204107
1751283660.0621512,9335177,2389805312,2389.805312,155,29,170,6,20250630_204107
1751283660.0721352,9335216,2389815296,2389.815296,160,28,172,6,20250630_204107
1751283660.0821192,9335255,2389825280,2389.82528,165,30,171,6,20250630_204107
1751283660.0921032,9335294,2389835264,2389.835264,170,29,171,6,20250630_204107
1751283660.1020873,9335333,2389845248,2389.845248,175,30,172,6,20250630_204107
1751283660.1120713,9335372,2389855232,2389.855232,180,29,171,6,20250630_204107
1751283660.1220553,9335411,2389865216,2389.865216,185,30,170,6,20250630_204107
1751283660.1320393,9335450,2389875200,2389.8752,190,29,171,6,20250630_204107
1751283660.1420233,9335489,2389885184,2389.885184,195,30,171,6,20250630_204107
1751283660.1520073,9335528,2389895168,2389.895168,201,30,171,6,20250630_204107
1751283660.1619914,9335567,2389905152,2389.905152,206,31,172,6,20250630_204107
1751283660.1719754,9335606,2389915136,2389.915136,211,29,172,6,20250630_204107
1751283660.1822152,9335646,2389925376,2389.925376,216,31,172,6,20250630_204107
1751283660.1921992,9335685,2389935360,2389.93536,221,30,172,6,20250630_204107
1751283660.2021832,9335724,2389945344,2389.945344,226,31,172,6,20250630_204107
1751283660.2121673,9335763,2389955328,2389.955328,231,29,171,6,20250630_204107
1751283660.2221513,9335802,2389965312,2389.965312,236,31,172,6,20250630_204107
1751283660.2321353,9335841,2389975296,2389.975296,241,29,171,6,20250630_204107
1751283660.2421193,9335880,2389985280,2389.98528,246,31,172,6,20250630_204107
1751283660.2521033,9335919,2389995264,2389.995264,252,30,171,6,20250630_204107
1751283660.2620873,9335958,2390005248,2390.005248,2,30,171,6,20250630_204107
1751283660.2720714,9335997,2390015232,2390.015232,7,29,170,6,20250630_204107
1751283660.2820554,9336036,2390025216,2390.025216,12,30,170,6,20250630_204107
1751283660.2920394,9336075,2390035200,2390.0352,17,28,168,6,20250630_204107
1751283660.3020232,9336114,2390045184,2390.045184,22,30,170,6,20250630_204107
1751283660.3120072,9336153,2390055168,2390.055168,27,29,169,6,20250630_204107
1751283660.3219912,9336192,2390065152,2390.065152,32,29,170,6,20250630_204107
1751283660.3322313,9336232,2390075392,2390.075392,37,28,169,6,20250630_204107
1751283660.3422153,9336271,2390085376,2390.085376,42,29,170,6,20250630_204107
1751283660.3521993,9336310,2390095360,2390.09536,47,27,170,6,20250630_204107
1751283660.3621833,9336349,2390105344,2390.105344,53,28,169,6,20250630_204107
1751283660.3721673,9336388,2390115328,2390.115328,58,27,169,6,20250630_204107
1751283660.3821514,9336427,2390125312,2390.125312,63,28,169,6,20250630_204107
1751283660.3921354,9336466,2390135296,2390.135296,68,27,169,6,20250630_204107
1751283660.4021192,9336505,2390145280,2390.14528,73,28,169,6,20250630_204107
1751283660.4121032,9336544,2390155264,2390.155264,78,27,168,6,20250630_204107
1751283660.4220872,9336583,2390165248,2390.165248,83,27,168,6,20250630_204107
1751283660.4320712,9336622,2390175232,2390.175232,88,26,168,6,20250630_204107
1751283660.4420552,9336661,2390185216,2390.185216,93,27,168,6,20250630_204107
1751283660.4520392,9336700,2390195200,2390.1952,98,26,169,6,20250630_204107
1751283660.4620233,9336739,2390205184,2390.205184,104,26,168,6,20250630_204107
1751283660.4722633,9336779,2390215424,2390.215424,109,25,170,6,20250630_204107
1751283660.4822474,9336818,2390225408,2390.225408,114,27,169,6,20250630_204107
1751283660.4922314,9336857,2390235392,2390.235392,119,25,170,6,20250630_204107
1751283660.5022154,9336896,2390245376,2390.245376,124,26,169,6,20250630_204107
1751283660.5121992,9336935,2390255360,2390.25536,129,25,168,6,20250630_204107
1751283660.5221832,9336974,2390265344,2390.265344,134,26,169,6,20250630_204107
1751283660.5321672,9337013,2390275328,2390.275328,139,25,168,6,20250630_204107
1751283660.5421512,9337052,2390285312,2390.285312,144,26,169,6,20250630_204107
1751283660.5521352,9337091,2390295296,2390.295296,149,26,169,6,20250630_204107
1751283660.5621192,9337130,2390305280,2390.30528,155,26,170,6,20250630_204107
1751283660.5721033,9337169,2390315264,2390.315264,160,25,170,6,20250630_204107
1751283660.5820873,9337208,2390325248,2390.325248,165,26,169,6,20250630_204107
1751283660.5920713,9337247,2390335232,2390.335232,170,25,169,6,20250630_204107
1751283660.6020553,9337286,2390345216,2390.345216,175,26,170,6,20250630_204107
1751283660.6122954,9337326,2390355456,2390.355456,180,25,168,6,20250630_204107
1751283660.6222792,9337365,2390365440,2390.36544,185,27,169,6,20250630_204107
1751283660.6322632,9337404,2390375424,2390.375424,190,26,170,6,20250630_204107
1751283660.6422472,9337443,2390385408,2390.385408,195,26,168,6,20250630_204107
1751283660.6522312,9337482,2390395392,2390.395392,200,25,169,6,20250630_204107
1751283660.6622152,9337521,2390405376,2390.405376,206,26,169,6,20250630_204107
1751283660.6721992,9337560,2390415360,2390.41536,211,25,169,6,20250630_204107
1751283660.6821833,9337599,2390425344,2390.425344,216,26,170,6,20250630_204107
1751283660.6921673,9337638,2390435328,2390.435328,221,25,170,6,20250630_204107
1751283660.7021513,9337677,2390445312,2390.445312,226,28,170,6,20250630_204107
1751283660.7121353,9337716,2390455296,2390.455296,231,26,169,6,20250630_204107
1751283660.7221193,9337755,2390465280,2390.46528,236,28,170,6,20250630_204107
1751283660.7321033,9337794,2390475264,2390.475264,241,27,169,6,20250630_204107
1751283660.7420874,9337833,2390485248,2390.485248,246,27,169,6,20250630_204107
1751283660.7520714,9337872,2390495232,2390.495232,251,27,168,6,20250630_204107
